doc_id,stock_code,issuer_name,publish_time,announcement_id,url,pdf_sha256,content_sha256,pdf_bytes,pdf_pages,selected_chars,queried_at,selection_policy
CNINFO-002738-1217358968,002738,中矿资源,2023-07-22,1217358968,https://static.cninfo.com.cn/finalpage/2023-07-22/1217358968.PDF,c4ca3d5dee9f18468e357371e1ba4f82420e48290e175b0093fe188151f154ff,d0cdd79fd2dccbccf8aaf6e2f59ca7a45726091589dcc78fdbc4ffe7b00b89f0,308362,2,1020,2026-08-14T18:42:43+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000408-1217375668,000408,藏格矿业,2023-07-25,1217375668,https://static.cninfo.com.cn/finalpage/2023-07-25/1217375668.PDF,af4fa1fc999453e58cb726762c46682d7ae011da70363f47398e1720e51c51d0,5d55d398a687bc6ae837315aa3edacf6c33412ab08dc07e8437dae15b002307e,281175,4,2599,2026-08-14T18:42:33+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000762-1217374402,000762,西藏矿业,2023-07-25,1217374402,https://static.cninfo.com.cn/finalpage/2023-07-25/1217374402.PDF,7d8833bf6caf230e1d4f88bc1510906d6754956e8eba3518a073ea00cfe70dbe,5924a5c47ea79af874ad2453757e0e12e5759f172242aeb4d124f9a0e9e7c540,359610,5,2287,2026-08-14T18:42:48+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002460-1217404026,002460,赣锋锂业,2023-07-28,1217404026,https://static.cninfo.com.cn/finalpage/2023-07-28/1217404026.PDF,900dac996173eb70124f1d047b6511c6e9fde57f41ec90e67951b9d391f4039f,ee424cde0b462b1e7c2e9f34a987913100883d84a38a653c526e3e456f5f62f1,242761,9,5314,2026-08-14T18:42:06+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002497-1217444659,002497,雅化集团,2023-08-02,1217444659,https://static.cninfo.com.cn/finalpage/2023-08-02/1217444659.PDF,f062cd87a085d073da764aaf0a40f08f19550cfddc09165db2c5b6468a456f47,999cbdb9581ab0bd996558aedea14b6c009ab8cd03bad2e613984cfea30f9834,168099,3,1699,2026-08-14T18:42:23+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002594-1217445214,002594,比亚迪,2023-08-02,1217445214,https://static.cninfo.com.cn/finalpage/2023-08-02/1217445214.PDF,1f5d091765fecc9a8c59f29cd4f616d7965f0032d8ad7f668aee1e71b5d47dd7,5383b2e451eebb4d371bbd189bcab4d5690c815dc6792940c7b530756a8888ae,86716,2,1195,2026-08-14T18:42:56+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002497-1217452811,002497,雅化集团,2023-08-03,1217452811,https://static.cninfo.com.cn/finalpage/2023-08-03/1217452811.PDF,d4d8caa2bd6659539528f09613acd98fb8221cb653269ca7d5ea1d7b007ab1ba,3462d6ab634b7b79940854658c0546b8c1a68c8646927d013721919cfb839ff0,184141,3,1982,2026-08-14T18:42:23+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-300390-1217501930,300390,天华新能,2023-08-09,1217501930,https://static.cninfo.com.cn/finalpage/2023-08-09/1217501930.PDF,6fcea2260041a5add996642e590c99c6a93e678837182c5016ae55a4313b3d0b,fc579edd8e64102fc4ff9130cab7cc87224ae5861fa0452985bd8a33033f4870,294786,5,3665,2026-08-14T18:42:39+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002738-1217599122,002738,中矿资源,2023-08-22,1217599122,https://static.cninfo.com.cn/finalpage/2023-08-22/1217599122.PDF,c03d5e835da9aaf197b47c9ff3773a21bd08ae7a072bd2ce6403cb3ed50d6947,de0564d8cdaf6ea397c7ca1eb0045d2065cfb63ce6c663933a8b3b785bef1e8a,587794,5,3361,2026-08-14T18:42:43+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002738-1217599123,002738,中矿资源,2023-08-22,1217599123,https://static.cninfo.com.cn/finalpage/2023-08-22/1217599123.PDF,3f8aaba0db109f3a3e75f92ee04d11bad8bde103211651f5c51619bf7578557c,17ca62d229863fc9848217d118342b585fec5c5bb959473c0381874d0959e289,506725,1,534,2026-08-14T18:42:43+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002466-1217718807,002466,天齐锂业,2023-08-31,1217718807,https://static.cninfo.com.cn/finalpage/2023-08-31/1217718807.PDF,5ce8db65de1211f1c977cc2fc3181cb5f5e91e63857d6cbb8790bfb0b183c722,70a862e4394dce8cd62e9027f49815368024f8c6fd9798cc9686a8cdd26cd90c,224525,1,515,2026-08-14T18:42:12+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002594-1217758661,002594,比亚迪,2023-09-02,1217758661,https://static.cninfo.com.cn/finalpage/2023-09-02/1217758661.PDF,91589bc6b27f4f195e6683af0d7465d2080b1c623a7414ac6beb8bef6a925893,5df5932798ed833da5a83d04bb0f0f12f9044b6417252d0c44f50072d83ec7a0,85675,2,1187,2026-08-14T18:42:56+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000792-1217886002,000792,盐湖股份,2023-09-19,1217886002,https://static.cninfo.com.cn/finalpage/2023-09-19/1217886002.PDF,df1c465ef8e229a9de5f41336cfc3d053a2b8f243cf728dcf6d569a6f126bae8,dc8c8ba87487d952beda20bdcd06533f1dd8406200681ad61f8951cee5c98b6b,250873,3,2347,2026-08-14T18:42:28+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000792-1217888488,000792,盐湖股份,2023-09-19,1217888488,https://static.cninfo.com.cn/finalpage/2023-09-19/1217888488.PDF,130d6bc8697cbef0cccc86895914653ea21618fa6e2c25b5442fff08d956263a,72b3a84f6f17ccd856f7a48f56cb1c0e7159dd155de40f835c5ab60b7f8ef373,250996,3,2349,2026-08-14T18:42:29+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002460-1217971863,002460,赣锋锂业,2023-09-28,1217971863,https://static.cninfo.com.cn/finalpage/2023-09-28/1217971863.PDF,7e85c45fa4044a7125ce587eaadd091d49ac7eaa4e7338a8c065bb288efb4d63,4c9b98bf7238815b1c4a88a3aa618cd924d88209786ad9dac2fcf7da36fd3456,190417,1,465,2026-08-14T18:42:06+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002594-1217994677,002594,比亚迪,2023-10-09,1217994677,https://static.cninfo.com.cn/finalpage/2023-10-09/1217994677.PDF,dc034fdabac7cc11b9d75e51acedc09741722b255c19ecd0ccbccfd2d3e00eb8,02bd9322f4056a185fd3d3f9895c007a53b05efe172ab88e9653543687c11305,86748,2,1204,2026-08-14T18:42:56+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000762-1218020027,000762,西藏矿业,2023-10-13,1218020027,https://static.cninfo.com.cn/finalpage/2023-10-13/1218020027.PDF,7a7f44d307884ff02f6d22e808dd9f37da4d19a6cf223d63b130d65bb372fbe0,b961b7d5e5445fb73c4bef86ee96cbbe8452bbd85cef533099bb2ea258a9118d,290869,2,1121,2026-08-14T18:42:48+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000792-1218031533,000792,盐湖股份,2023-10-14,1218031533,https://static.cninfo.com.cn/finalpage/2023-10-14/1218031533.PDF,36afa740b9c4890beebd950832b94291af8f1d7b9b4347a98f1076831929c9af,929abdc386f7b2b583d65cf7bf831f2b7128bd32dd4bf0eb3add3e10c2f9db88,222390,2,1016,2026-08-14T18:42:29+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002460-1218047768,002460,赣锋锂业,2023-10-17,1218047768,https://static.cninfo.com.cn/finalpage/2023-10-17/1218047768.PDF,70e6ba2855ae05d71dba7994397aa93abf79ffe5ec80248b456312e89622938c,e554c35ed94ee6e9f44410f32ec883eaa2468ed1fdca089e37aab7670f5704cc,244670,4,1716,2026-08-14T18:42:06+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002594-1218232006,002594,比亚迪,2023-11-02,1218232006,https://static.cninfo.com.cn/finalpage/2023-11-02/1218232006.PDF,caf9e98d8d8afd8b132e964fd7d2fa8db44d1f707f03f15dee4f7dd5f3a3c528,228c68fd420d05168192d7e9bea36cd0582f8408cbec7ca46babb1057ae7d6b0,86841,2,1219,2026-08-14T18:42:56+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000408-1218269063,000408,藏格矿业,2023-11-07,1218269063,https://static.cninfo.com.cn/finalpage/2023-11-07/1218269063.PDF,5859a4853b767279453c9648407a0a446fba23227ab6e9665572a2ef090eac10,7e3f715504e535d8cf2ed2a6203787a120fccd8e4a70028c92642bffdfea3b39,288691,6,4351,2026-08-14T18:42:33+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000408-1218292119,000408,藏格矿业,2023-11-10,1218292119,https://static.cninfo.com.cn/finalpage/2023-11-10/1218292119.PDF,0a56e8c6e7ccc2a74176c01a7905a077c7fdd54a836b7cf58988a5d73e6f9871,48867a07e46e01d4da429e8281bde7c3993d2f950ce9a29db16aa3eae6d035e9,337850,8,5878,2026-08-14T18:42:33+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002738-1218293311,002738,中矿资源,2023-11-10,1218293311,https://static.cninfo.com.cn/finalpage/2023-11-10/1218293311.PDF,d595470bf62cfed8b048a861b789caa7928dfccf082f0e1b44ae9107fc300092,abf498238c66e00e7cac53dff3f7d2dcd2296ec36b77d7716f4cdd20da0acd51,432847,3,2134,2026-08-14T18:42:43+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002738-1218362142,002738,中矿资源,2023-11-17,1218362142,https://static.cninfo.com.cn/finalpage/2023-11-17/1218362142.PDF,029c14c911d4cba86f5cd7ad34b0846aa0605cf82b1c303a01df67fac60411df,a2a850b468e369bc7c28b36c1e81301db7c0f61e018495499844e133afbdab6a,290670,2,1099,2026-08-14T18:42:43+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002738-1218369754,002738,中矿资源,2023-11-18,1218369754,https://static.cninfo.com.cn/finalpage/2023-11-18/1218369754.PDF,7b1201c79b7b7682e059e98c3e36554d84f72aa2fba5225e248b0040378ec17b,77e7f692f966a2c79400e6c4558ec278ae658a65affdc7f8d6a1c4210770ef2d,328676,2,1225,2026-08-14T18:42:43+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000762-1218378825,000762,西藏矿业,2023-11-21,1218378825,https://static.cninfo.com.cn/finalpage/2023-11-21/1218378825.PDF,42ec8a070dfcb531fa268f7c381bf7ac1cf3a6070973ad9726649ff61368bde6,14d83709f6b4d0603c74e789f160378f827d59933802303e62c37a1fcc4be11b,206808,1,550,2026-08-14T18:42:48+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000762-1218382501,000762,西藏矿业,2023-11-21,1218382501,https://static.cninfo.com.cn/finalpage/2023-11-21/1218382501.PDF,e3e5d2926c625bc085807739d14bd15f6facce7ffeae227db984b4dc383f52b3,d349e466cc75d1d22fd34269442dbbeb5eed2ab5e02247fcae83eb55e2161cef,274363,3,1710,2026-08-14T18:42:48+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002466-1218455746,002466,天齐锂业,2023-11-28,1218455746,https://static.cninfo.com.cn/finalpage/2023-11-28/1218455746.PDF,afddb92f57d98caefdd031a279101e687b86ca2156acbadeed8721055d3eed98,782e1001dc339ab56310a69964bbb3fff6a7b2ecbbe7a4b407db9ae3d1507b4b,187794,1,473,2026-08-14T18:42:12+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002497-1218483826,002497,雅化集团,2023-12-01,1218483826,https://static.cninfo.com.cn/finalpage/2023-12-01/1218483826.PDF,059f6918a44b3b34b2a21ba5924b1452811cf4791d5638cedf35f6aeaa2777c1,19786f6eec15390cf4115c77a041fdf848de76d0573c8c3381eb683195d6175e,220565,4,3089,2026-08-14T18:42:23+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002594-1218498293,002594,比亚迪,2023-12-02,1218498293,https://static.cninfo.com.cn/finalpage/2023-12-02/1218498293.PDF,20bc9d1d9a58a10a92f576c847ac00ab5d8e47e70bd3cc9110d7537819d023b5,7a1e2d894f0c84b550d2955e3c2765ea83096e78140d499156c95f17f1983c16,85736,2,1221,2026-08-14T18:42:56+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-300390-1218562450,300390,天华新能,2023-12-08,1218562450,https://static.cninfo.com.cn/finalpage/2023-12-08/1218562450.PDF,28202224291341fdf9a2f337bafef5fc12690ff6708e223ed3f966c7e82bc586,040cc20e004f274f75af7a4278891241102d83c2367b12cb789b1ef5e2bbd4c5,399294,2,1710,2026-08-14T18:42:39+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002240-1218593292,002240,盛新锂能,2023-12-13,1218593292,https://static.cninfo.com.cn/finalpage/2023-12-13/1218593292.PDF,0cae48917850c32db16e73b0c44faaa353317e3ac5d3de5033092ef1c183f026,d90ceda8708f3f73f82bcb39332d05b2d0bce616a82b17a7d531d60a82bdf0e4,243332,4,2848,2026-08-14T18:42:19+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002240-1218645646,002240,盛新锂能,2023-12-18,1218645646,https://static.cninfo.com.cn/finalpage/2023-12-18/1218645646.PDF,f5a648e3ec20dd1b340b9035b99be817d508d2cb648c6e0133e717541a50be65,07d69632bb51c78a6956c8e96c7e99b6a937c509c62c9a0de1e94709756a5800,242125,6,4622,2026-08-14T18:42:19+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-000762-1218653636,000762,西藏矿业,2023-12-19,1218653636,https://static.cninfo.com.cn/finalpage/2023-12-19/1218653636.PDF,11341355099229292d358e1daba2335beeb265864cbb9c1da0f66b5d7394bf0d,b4b57c0d253b0d4def42db63f47a5198989bd827ce13f42957c6e1ad4ae40da3,216558,2,813,2026-08-14T18:42:48+08:00,issuer_title_and_document_relevance_without_market_returns
CNINFO-002466-1218706313,002466,天齐锂业,2023-12-23,1218706313,https://static.cninfo.com.cn/finalpage/2023-12-23/1218706313.PDF,a4b53de64aaaa2e659e0a1468b3c04c361ad3591ebaba8445cb21dcd86f3e470,20224a74d77281e52a42642e2ad6438e29643345cdd42472b8a50658f8da06b0,231155,2,1557,2026-08-14T18:42:12+08:00,issuer_title_and_document_relevance_without_market_returns
