doc_id,publish_time,status,error,annotation_input_sha256,prompt_version,annotated_at
CNINFO-002594-1222201503,2025-01-02,accepted,,9dd50ada0aa37c9d25b5b337f9a92aa8c4abe0317baef7eac456cb7a9b50960e,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:57+08:00
GFEX-WR-20250102,2025-01-02,accepted,,86481f31bf4de4b3d2f9b1ea0d17460ef48337af9904cd6b9620bdf8d24597cb,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:02+08:00
GFEX-WR-20250108,2025-01-08,accepted,,d885b816b1042741089e75160141330fac8c871232f1d57f135cb2d9685ffe07,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:58+08:00
GFEX-WR-20250110,2025-01-10,accepted,,ccd6d0eae8b00e278cc0ca38df5c7ae6104d4e2a41c08ae1201de6fe033e8a28,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:58+08:00
CNINFO-002176-1222320892,2025-01-14,accepted,,cfdcd163e6370dc8adf3ec653e65c3a6f41fcf1a4f2f4ddfb706b2ea2ef349fb,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:57+08:00
CNINFO-002176-1222320893,2025-01-14,accepted,,7fff8ca88800b2e55e211de199d6eebcfe95251d88edd518ee4367f2887991cf,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:57+08:00
LC-TEXT-0013,2025-01-14,accepted,,5b4a9554b3cefd33eb84125ebfffc527176ef8abf01c0131abdb18b141e55429,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:57+08:00
GFEX-WR-20250116,2025-01-16,accepted,,b5df577dfd649ce66f6c6a1c70687b90667695c314f482ccc3325449bb6c64a7,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:58+08:00
LC-TEXT-0014,2025-01-16,accepted,,3c58086081386b011766ecea5effa2766d342517389912689dd55112c7cb36cd,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:57+08:00
LC-TEXT-0015,2025-01-17,accepted,,79bf97697edb9f4536973d28c5f006b5fa65034db52f63a6c282b215af4cf01a,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:58+08:00
CNINFO-002756-1222365542,2025-01-18,accepted,,32babb9e5cfe65a5e84ffe1e935c3a457a7589d9803723eef157796917fe10da,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:58+08:00
CNINFO-002497-1222380040,2025-01-21,accepted,,80698a7b53540ea88cd7bca758ae59d5a188d0d0da72570130705376a195632b,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:59+08:00
GFEX-WR-20250121,2025-01-21,accepted,,3e986094cefc9c36c50062fd7291027cddb035ee58e9d04af2f76c1bcfbb28ce,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:00+08:00
CNINFO-002460-1222390209,2025-01-22,accepted,,9e7e1fc301d3ec35b9bd72b9d8e32feacd1ea1038d68eaa40dd94fc4f069bd71,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:58+08:00
GFEX-WR-20250122,2025-01-22,accepted,,9468e8b7019da69a943384bd1b4bbf90bac19e26b650f4837c8d629db4a2bc19,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:01+08:00
LC-TEXT-0016,2025-01-23,accepted,,08944afa6a9798938c2ff48deeee0a59fd6f923ef52bef81bb4a10c76798b8c3,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:06:59+08:00
CNINFO-002240-1222418663,2025-01-24,accepted,,878173c0d28c954cd38ec90d429f1d998a176c6d873e001ac94aa9cf274ab56d,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:00+08:00
CNINFO-002466-1222419650,2025-01-24,accepted,,9ff4594ad372349ed981ff87a071e05b6117fcd48475abbc59443b9450f74f9f,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:00+08:00
CNINFO-002466-1222419651,2025-01-24,accepted,,d4270d6b55c7e00b38282fd4c0ede2a7813f41d51f0d1025e9b8d5adf7de153d,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:00+08:00
CNINFO-002466-1222419653,2025-01-24,accepted,,ba708103ca78ee7f4d3143d1657b6e33851080327fc9e163ccef93d5e5983b50,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:00+08:00
CNINFO-002460-1222431395,2025-01-25,accepted,,2eada4f70c12405da3ef14b2fe71d02c1d8c6c886e2c7ca30c7b51054f79ac66,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:02+08:00
GFEX-WR-20250127,2025-01-27,accepted,,3bc44bf44bd92e59a096756cadda8ca952538fff3e668a1daa85ca3eb3d1ab10,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:01+08:00
LC-TEXT-0017,2025-02-04,accepted,,005391067da945df1c6529927e6142ebb8a82817e787c5fe436ca8c52521bb9f,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:02+08:00
CNINFO-002594-1222456351,2025-02-05,accepted,,1f4f69bdfc3c53cf61d7292e0d8461ac11014bc426ab00a9ec60b12590f9e303,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:01+08:00
CNINFO-300390-1222484334,2025-02-07,accepted,,5398ac3c43492e5faf19e766a4dd635132f4c13f4a2ad22ef04bf45391af008d,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:02+08:00
GFEX-WR-20250210,2025-02-10,accepted,,593b4e4f9946b359e56549b9573b4d1cfa9fa58d7b032df19ed63ae9d76945c5,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:03+08:00
GFEX-WR-20250213,2025-02-13,accepted,,007b3c893083b2357e7aa1f1adea769dc3ed3da6b0c7cabade7818153d6ab616,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:04+08:00
CNINFO-002460-1222536441,2025-02-14,accepted,,606126111e09d2f1aee3284c3842290478aabcb5244baf91cbbbca46395810e3,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:03+08:00
CNINFO-002466-1222581162,2025-02-20,accepted,,c3881708f4a40f9141c38a98a8fe128700241cc5eacefc20b808c7d2b771be04,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:04+08:00
GFEX-WR-20250227,2025-02-27,accepted,,5a4984c70aa00b7eba0398b268a297bc775f992dbd44725e3f290f5cacecba35,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract,2026-08-14T20:07:02+08:00
