doc_id,publish_time,predicate_consensus,model,request_id,annotation_input_sha256,prompt_version
CNINFO-002738-1217358968,2023-07-22,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.5,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""51%""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""风险提示""}]",deepseek-v4-flash,5d523446-dd02-4405-aa41-605972f5f233,a0e5a91d9ce8a4a61d3ea95f29368494c38a3437d5c315ebf24ce61805f8b197,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-000408-1217375668,2023-07-25,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""临近交割""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""来源：巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""保证金金额不超过人民币 1.5 亿元""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""可能""}]",deepseek-v4-flash,ff1e95d8-d7e7-40cc-9df6-7ab6ede88665,6545894b74a305561b036c8c8c3e42baa83ab02f263597d2ac8e306d07fc245e,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-000762-1217374402,2023-07-25,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""西藏扎布耶盐湖绿 色综合开发利用万 吨 电 池 级碳 酸 锂供 能项 目 （BOO ）""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""来源：巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""万吨电池级碳酸锂""},{""name"":""uncertainty_high"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""按照《西藏扎布耶盐湖绿色综合开发利用万吨电池级碳酸 锂供能项目（BOO）招标文件》约定，“中标人按要求组建项目 公司，负责本项目的投融资、建设、运营、服务”""}]",deepseek-v4-flash,9acc82d1-9e36-41c0-8307-af1ca3a10464,33b078134c2472833a402c68b1a56375c0c704e7b091747a296aa901e663265e,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-002460-1217404026,2023-07-28,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""为有效解 决与赣锋锂业的同业竞争情形， 李良彬于 2021 年 9 月 22 日就收购蒙 金矿业股权事项作出 《关于避免潜在同业竞争的补充承诺函》，交易 完成后的 60 个月内，李良彬将积极推动蒙金矿业旗本公司加不斯铌 钽矿的开发建设， 如加不斯铌钽矿取得新的采矿权证且采矿量符合预 期， 李良彬承诺将所持有的蒙金矿业70%的股权以其收购蒙金矿业和 追加投入（如有）的成本加合理费用 （包括审计的资金利息及其他合 理费用）优先转让给赣锋锂业。""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""来源：巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""矿区累计查明资源量： 总矿石量7244.3 万吨，Li2O 矿石量 6677.5 万吨，Li2O 金属氧化物量 450682 吨，Li2O 平均品位 0.67%；""},{""name"":""uncertainty_high"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.5,""evidence_text"":""""}]",deepseek-v4-flash,603e5f51-660b-4c8e-aaf7-b5a37874e557,dc45cfd82c9a00be7001dd44bc486d1f11b63cb287d695d9a848361826ac1e68,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-002497-1217444659,2023-08-02,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""随着公司未来锂盐产能 的扩张，将有利于公司锂盐产品的充分释放和顺利销售""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.5,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.5,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""来源：巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""2023 年至 2030 年交易数量合计约在 20.7 万吨~30.1 万吨""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""预计""}]",deepseek-v4-flash,ea9725c7-298b-4c70-ad81-d212bbdf8bc1,6a76eef18f02bbd2f5c8b3c226b81dec49712c0fbb55d5d048570ff233dc9a7d,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-002594-1217445214,2023-08-02,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""新能源汽车 272,414 163,358 1,547,961 811,272 90.81% 262,161 162,530 1,517,798 803,880 88.81%""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""本公司 2023 年 7 月新能源汽车动力电池及储能电池装机总量约为 12.406 GWh，2023 年累计装机总量约为 72.655 GWh。""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""来源：巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""新能源汽车 272,414 163,358 1,547,961 811,272 90.81% 262,161 162,530 1,517,798 803,880 88.81%""},{""name"":""uncertainty_high"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""务请注意，上述销量数字未经审核，亦未经本公司审计师确认，或会予以调整并有待最终确认。""}]",deepseek-v4-flash,d72f4cc4-f7eb-4c46-a35e-e1b87d16539b,181943f96cd880f5dce3762089d7d71fa4f0f7ccb639c3bb4353631b69920ef8,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-002497-1217452811,2023-08-03,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""扩产""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.5,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.5,""evidence_text"":""""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""预计""}]",deepseek-v4-flash,f863d02b-5cff-47ab-82ca-7b9b810e82b0,7119c33e9d0323256632f6aeb1006c65fb15db629e0a4af9f9e0ca95cb603502,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-300390-1217501930,2023-08-09,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""存在不确定性""}]",deepseek-v4-flash,92c7bc59-f60e-4392-83ff-edd379245f04,73e19fc36650324aba4e2ac4f43130ff531ab1b3861b85438171da3b9f435d0c,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
LC-TEXT-0001,2023-08-15,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""投产""},{""name"":""production_resumption"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""复产""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""新能源汽车 75.2 万辆，增长 24.9%""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.0,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""来源：国家统计局""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.0,""evidence_text"":""新能源汽车 75.2 万辆，增长 24.9%""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.0,""evidence_text"":""可能""}]",deepseek-v4-flash,b5118eb4-5987-4660-9ee4-da7bc7114e3e,c3a13b8a455405bba48a9faebc445e3032182b750e91e9abc9b1e00b1f6a8675,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
CNINFO-002738-1217599122,2023-08-22,"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""临近交割""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""巨潮资讯网""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""12个""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""可能""}]",deepseek-v4-flash,ce973531-2ef2-484c-880c-26fb60d519f9,2f07a119e7df08bb5b12ab3664e16b3f94d378bf70d32a9be0601a509a015c0d,lithium-v3-deepseek-v4-flash-predicate-v6-conservative
