event_id,stock_code,event_time,entry_trade_date,exit_trade_date_5d,forward_return_5d,exit_trade_date_10d,forward_return_10d,future_info_ok
E006,002594,2024-04-24,2024-04-25,2024-05-06,0.094340,2024-05-13,0.091345,true
E007,601127,2024-04-24,2024-04-25,2024-05-06,0.011933,2024-05-13,-0.057052,true
E008,000625,2024-04-24,2024-04-25,2024-05-06,-0.106032,2024-05-13,-0.124444,true
E009,601633,2024-04-24,2024-04-25,2024-05-06,-0.037505,2024-05-13,-0.040566,true
E010,600104,2024-04-24,2024-04-25,2024-05-06,-0.009662,2024-05-13,-0.023464,true
E011,601012,2026-04-29,2026-04-30,2026-05-11,0.014661,2026-05-18,-0.075137,true
E012,600438,2026-04-30,2026-05-06,2026-05-12,-0.021877,2026-05-19,-0.072539,true
E014,002459,2026-04-29,2026-04-30,2026-05-11,0.031835,2026-05-18,-0.039326,true
E015,688599,2026-04-30,2026-05-06,2026-05-12,0.028977,2026-05-19,-0.019318,true
E016,601012,2024-01-20,2024-01-22,2024-01-26,-0.001832,2024-02-02,-0.143381,true
E017,600438,2024-01-20,2024-01-22,2024-01-26,0.009608,2024-02-02,-0.074460,true
E018,002129,2024-01-20,2024-01-22,2024-01-26,-0.046124,2024-02-02,-0.278027,true
E019,002459,2024-01-20,2024-01-22,2024-01-26,0.002976,2024-02-02,-0.197917,true
E020,688599,2024-01-20,2024-01-22,2024-01-26,-0.067592,2024-02-02,-0.215930,true
E021,300274,2024-01-20,2024-01-22,2024-01-26,-0.015080,2024-02-02,-0.104725,true
E022,300750,2024-02-20,2024-02-21,2024-02-27,0.003245,2024-03-05,0.052423,true
E023,300014,2024-02-20,2024-02-21,2024-02-27,0.059018,2024-03-05,0.113219,true
E024,002074,2024-02-20,2024-02-21,2024-02-27,0.050820,2024-03-05,0.050273,true
E025,300207,2024-02-20,2024-02-21,2024-02-27,0.062693,2024-03-05,0.047214,true
E026,300438,2024-02-20,2024-02-21,2024-02-27,0.098466,2024-03-05,0.074715,true
E027,603659,2024-02-20,2024-02-21,2024-02-27,0.063433,2024-03-05,0.085821,true
E028,300073,2024-02-20,2024-02-21,2024-02-27,0.042620,2024-03-05,0.008461,true
E029,002812,2024-02-20,2024-02-21,2024-02-27,0.076582,2024-03-05,0.047033,true
E030,300450,2024-02-20,2024-02-21,2024-02-27,0.094905,2024-03-05,0.077423,true
E031,002594,2025-01-14,2025-01-15,2025-01-21,0.036257,2025-02-05,0.024245,true
E032,601127,2025-01-14,2025-01-15,2025-01-21,0.006695,2025-02-05,-0.077251,true
E033,000625,2025-01-14,2025-01-15,2025-01-21,-0.006421,2025-02-05,-0.008828,true
E034,601633,2025-01-14,2025-01-15,2025-01-21,-0.041961,2025-02-05,-0.067843,true
E035,600104,2025-01-14,2025-01-15,2025-01-21,0.006583,2025-02-05,0.014961,true
E053,688063,2024-04-02,2024-04-03,2024-04-11,-0.053566,2024-04-18,-0.162396,true
E054,688390,2024-04-02,2024-04-03,2024-04-11,0.008533,2024-04-18,-0.087366,true
E055,300763,2024-04-02,2024-04-03,2024-04-11,-0.038370,2024-04-18,-0.105397,true
E056,605117,2024-04-02,2024-04-03,2024-04-11,-0.123410,2024-04-18,-0.177163,true
E057,002335,2024-04-02,2024-04-03,2024-04-11,-0.037651,2024-04-18,-0.074799,true
E058,300274,2026-04-01,2026-04-02,2026-04-09,-0.058432,2026-04-16,0.018815,true
E059,300750,2026-01-16,2026-01-19,2026-01-23,-0.012973,2026-01-30,-0.004266,true
E060,300014,2026-01-16,2026-01-19,2026-01-23,-0.029896,2026-01-30,-0.073064,true
E061,002074,2026-01-16,2026-01-19,2026-01-23,0.003869,2026-01-30,-0.081499,true
E062,300207,2026-01-16,2026-01-19,2026-01-23,0.012014,2026-01-30,-0.065278,true
E063,300438,2026-01-16,2026-01-19,2026-01-23,-0.057654,2026-01-30,-0.102982,true
E064,603659,2026-01-16,2026-01-19,2026-01-23,0.064712,2026-01-30,-0.017519,true
E065,300073,2026-01-16,2026-01-19,2026-01-23,0.027541,2026-01-30,-0.083266,true
E066,002812,2026-01-16,2026-01-19,2026-01-23,-0.024714,2026-01-30,-0.059572,true
E067,300450,2026-01-16,2026-01-19,2026-01-23,0.052746,2026-01-30,-0.038346,true
E076,300014,2026-03-28,2026-03-30,2026-04-03,-0.156387,2026-04-13,-0.014961,true
E083,601012,2024-03-29,2024-04-01,2024-04-09,0.000513,2024-04-16,-0.074910,true
E084,600438,2024-03-29,2024-04-01,2024-04-09,-0.017098,2024-04-16,-0.068390,true
E085,002129,2024-03-29,2024-04-01,2024-04-09,-0.006009,2024-04-16,-0.117597,true
E086,002459,2024-03-29,2024-04-01,2024-04-09,-0.018846,2024-04-16,-0.133687,true
E087,688599,2024-03-29,2024-04-01,2024-04-09,-0.011623,2024-04-16,-0.095997,true
E088,300274,2024-03-29,2024-04-01,2024-04-09,-0.018279,2024-04-16,-0.049353,true
E089,002074,2026-04-29,2026-04-30,2026-05-11,-0.005867,2026-05-18,-0.037867,true
E090,002202,2025-07-18,2025-07-21,2025-07-25,-0.017172,2025-08-01,-0.030303,true
E091,601615,2025-07-18,2025-07-21,2025-07-25,0.033484,2025-08-01,0.002715,true
E092,300772,2025-07-18,2025-07-21,2025-07-25,0.012608,2025-08-01,0.001576,true
E093,688349,2025-07-18,2025-07-21,2025-07-25,0.042378,2025-08-01,0.066043,true
