trade_date,stock_code,stock_name,industry_sector,factor_name,factor_value,raw_score,trigger_event_ids,trigger_rule_ids
2026-06-30,300750,宁德时代,锂电,composite__attention_signal__policy_attention_signal__policy_signal_score,2.687163,1.075251,E034|E071|E209|E226|E244|E284|E399|E416,R003|R004|R005|R006|R007|R008|R010|R011
2026-06-30,002594,比亚迪,整车,composite__attention_signal__policy_signal_score,1.998543,1.552361,E006|E011|E043|E140|E218|E245|E282|E356|E387|E408|E424,R002|R003|R006|R007|R008|R010|R011|R012
2026-06-30,002080,中材科技,风电,attention_signal_score,1.982721,0.729708,E115|E265,R004|R009
2026-06-30,601012,隆基绿能,光伏,composite__attention_signal__policy_attention_signal__policy_signal_score,1.414214,0.146996,E013|E081|E094|E105|E170|E204|E224|E362|E374|E414|E420,R003|R004|R005|R008|R010|R011|R012
2026-06-30,300274,阳光电源,光伏,composite__attention_signal__policy_attention_signal__policy_signal_score,1.414214,0.146996,E014|E082|E095|E106|E171|E205|E225|E363|E375|E415|E421,R003|R004|R005|R008|R010|R011|R012
2026-06-30,300763,锦浪科技,储能,composite__attention_signal__policy_attention_signal__policy_signal_score,1.224745,0.185512,E018|E066|E086|E153|E175|E229|E287|E367|E379|E419|E423|E434,R001|R002|R003|R004|R005|R006|R008|R010|R011
2026-06-30,605117,德业股份,储能,composite__attention_signal__policy_attention_signal__policy_signal_score,1.224745,0.185512,E017|E065|E085|E152|E174|E228|E286|E366|E378|E418|E422|E433,R001|R002|R003|R004|R005|R006|R008|R010|R011
2026-06-30,002074,国轩高科,锂电,composite__attention_signal__policy_signal_score,0.519673,0.403804,E036|E073|E111|E211|E401,R004|R006|R007
2026-06-30,300014,亿纬锂能,锂电,composite__attention_signal__policy_attention_signal__policy_signal_score,-0.273006,0.158248,E035|E072|E210|E227|E285|E400|E417,R003|R004|R005|R006|R007|R008|R010|R011
2026-06-30,002202,金风科技,风电,composite__attention_signal__policy_signal_score,-0.349031,0.086734,E015|E083|E096|E112|E172|E206|E364|E376,R004|R008|R009|R010|R011|R012
2026-06-30,601615,明阳智能,风电,composite__attention_signal__policy_signal_score,-0.349031,0.086734,E016|E084|E097|E113|E173|E207|E365|E377,R004|R008|R009|R010|R011|R012
2026-06-30,600104,上汽集团,整车,composite__attention_signal__policy_signal_score,-0.425740,0.635358,E007|E012|E044|E141|E219|E283|E357|E388|E409|E425,R002|R003|R006|R007|R008|R010|R011|R012
2026-06-30,300207,欣旺达,锂电,composite__attention_signal__policy_signal_score,-0.488972,0.091346,E040|E077|E215|E405,R006|R007
2026-06-30,300438,鹏辉能源,锂电,composite__attention_signal__policy_signal_score,-0.488972,0.091346,E042|E079|E217|E407,R006|R007
2026-06-30,603659,璞泰来,锂电,composite__attention_signal__policy_signal_score,-0.488972,0.091346,E037|E074|E212|E402,R006|R007
2026-06-30,300073,当升科技,锂电,composite__attention_signal__policy_signal_score,-0.488972,0.091346,E041|E078|E216|E406,R006|R007
2026-06-30,002812,恩捷股份,锂电,composite__attention_signal__policy_signal_score,-0.488972,0.091346,E039|E076|E214|E404,R006|R007
2026-06-30,300450,先导智能,锂电,composite__attention_signal__policy_signal_score,-0.488972,0.091346,E038|E075|E213|E403,R006|R007
2026-06-30,601127,赛力斯,整车,composite__attention_signal__policy_signal_score,-0.524268,0.598089,E009|E046|E143|E221|E359|E390|E411|E427,R002|R003|R006|R007|R008|R010|R011|R012
2026-06-30,000625,长安汽车,整车,composite__attention_signal__policy_signal_score,-0.524268,0.598089,E010|E047|E144|E222|E360|E391|E412|E428,R002|R003|R006|R007|R008|R010|R011|R012
2026-06-30,601633,长城汽车,整车,composite__attention_signal__policy_signal_score,-0.524268,0.598089,E008|E045|E142|E220|E358|E389|E410|E426,R002|R003|R006|R007|R008|R010|R011|R012
2026-06-30,300772,运达股份,风电,attention_signal_score,-0.642329,0.005858,E116,R004|R009
2026-06-30,688349,三一重能,风电,attention_signal_score,-0.642329,0.005858,E114,R004|R009
2026-06-30,600438,通威股份,光伏,policy_signal_score,-0.707107,0.000002,E107,R008
2026-06-30,002129,TCL中环,光伏,policy_signal_score,-0.707107,0.000002,E110,R008
2026-06-30,002459,晶澳科技,光伏,policy_signal_score,-0.707107,0.000002,E109,R008
2026-06-30,688599,天合光能,光伏,policy_signal_score,-0.707107,0.000002,E108,R008
2026-06-30,688063,派能科技,储能,policy_signal_score,-0.816497,0.080814,E069|E156|E437,R001|R002|R006|R008|R010|R011
2026-06-30,688390,固德威,储能,policy_signal_score,-0.816497,0.080814,E067|E154|E435,R001|R002|R006|R008|R010|R011
2026-06-30,002335,科华数据,储能,policy_signal_score,-0.816497,0.080814,E068|E155|E436,R001|R002|R006|R008|R010|R011
