trade_date,stock_code,factor_name,factor_value,raw_score,trigger_event_ids,trigger_rule_ids,forward_return_5d,future_info_ok
2024-04-25,002594,policy_signal_score,0.516111,0.578600,E006,R001,0.094340,true
2024-04-25,600104,policy_signal_score,0.516111,0.578600,E007,R001,-0.009662,true
2024-04-25,601633,policy_signal_score,0.516111,0.578600,E008,R001,-0.037505,true
2024-04-25,601127,policy_signal_score,0.516111,0.578600,E009,R001,0.011933,true
2024-04-25,000625,policy_signal_score,0.516111,0.578600,E010,R001,-0.106032,true
2024-03-08,002594,policy_signal_score,0.516111,0.578600,E011,R001,0.131270,true
2024-03-08,600104,policy_signal_score,0.516111,0.578600,E012,R001,-0.024022,true
2024-05-24,601012,policy_signal_score,0.516111,0.578600,E013,R001,0.002140,true
2024-05-24,300274,policy_signal_score,0.516111,0.578600,E014,R001,-0.014900,true
2024-05-24,002202,policy_signal_score,0.516111,0.578600,E015,R001,0.015873,true
2024-05-24,601615,policy_signal_score,0.516111,0.578600,E016,R001,-0.001034,true
2024-05-24,605117,policy_signal_score,0.516111,0.578600,E017,R001,-0.023003,true
2024-05-24,300763,policy_signal_score,0.516111,0.578600,E018,R001,-0.034616,true
2025-01-15,002594,policy_signal_score,0.419078,0.569400,E043,R002,0.036257,true
2025-01-15,600104,policy_signal_score,0.419078,0.569400,E044,R002,0.006583,true
2025-01-15,601633,policy_signal_score,0.419078,0.569400,E045,R002,-0.041961,true
2025-01-15,601127,policy_signal_score,0.419078,0.569400,E046,R002,0.006695,true
2025-01-15,000625,policy_signal_score,0.419078,0.569400,E047,R002,-0.006421,true
2024-07-26,601012,policy_signal_score,0.516111,0.578600,E081,R001,0.032328,true
2024-07-26,300274,policy_signal_score,0.516111,0.578600,E082,R001,-0.036358,true
2024-07-26,002202,policy_signal_score,0.516111,0.578600,E083,R001,0.036096,true
2024-07-26,601615,policy_signal_score,0.516111,0.578600,E084,R001,0.005353,true
2024-07-26,605117,policy_signal_score,0.516111,0.578600,E085,R001,0.010615,true
2024-07-26,300763,policy_signal_score,0.516111,0.578600,E086,R001,-0.005308,true
2025-01-15,002594,policy_signal_score,0.516111,0.578600,E140,R001,0.036257,true
2025-01-15,600104,policy_signal_score,0.516111,0.578600,E141,R001,0.006583,true
2025-01-15,601633,policy_signal_score,0.516111,0.578600,E142,R001,-0.041961,true
2025-01-15,601127,policy_signal_score,0.516111,0.578600,E143,R001,0.006695,true
2025-01-15,000625,policy_signal_score,0.516111,0.578600,E144,R001,-0.006421,true
2025-08-28,605117,policy_signal_score,0.516111,0.578600,E152,R001,0.108764,true
2025-08-28,300763,policy_signal_score,0.516111,0.578600,E153,R001,0.135735,true
2025-08-28,688390,policy_signal_score,0.516111,0.578600,E154,R001,0.116294,true
2025-08-28,002335,policy_signal_score,0.516111,0.578600,E155,R001,-0.012288,true
2025-08-28,688063,policy_signal_score,0.516111,0.578600,E156,R001,0.129359,true
2025-10-16,002594,policy_signal_score,0.516111,0.578600,E282,R001,-0.030093,true
2025-10-16,600104,policy_signal_score,0.516111,0.578600,E283,R001,-0.019655,true
2025-10-16,300750,policy_signal_score,0.516111,0.578600,E284,R001,0.014865,true
2025-10-16,300014,policy_signal_score,0.516111,0.578600,E285,R001,-0.033229,true
2025-10-16,605117,policy_signal_score,0.516111,0.578600,E286,R001,-0.015619,true
2025-10-16,300763,policy_signal_score,0.516111,0.578600,E287,R001,-0.045455,true
2024-08-05,601012,policy_signal_score,0.516111,0.578600,E362,R001,-0.026093,true
2024-08-05,300274,policy_signal_score,0.516111,0.578600,E363,R001,0.055695,true
2024-08-05,002202,policy_signal_score,0.516111,0.578600,E364,R001,0.004021,true
2024-08-05,601615,policy_signal_score,0.516111,0.578600,E365,R001,-0.014192,true
2024-08-05,605117,policy_signal_score,0.516111,0.578600,E366,R001,0.014603,true
2024-08-05,300763,policy_signal_score,0.516111,0.578600,E367,R001,-0.024053,true
2024-12-23,601012,policy_signal_score,0.516111,0.578600,E374,R001,-0.009810,true
2024-12-23,300274,policy_signal_score,0.516111,0.578600,E375,R001,0.028467,true
2024-12-23,002202,policy_signal_score,0.516111,0.578600,E376,R001,-0.030274,true
2024-12-23,601615,policy_signal_score,0.516111,0.578600,E377,R001,0.000000,true
2024-12-23,605117,policy_signal_score,0.516111,0.578600,E378,R001,0.014568,true
2024-12-23,300763,policy_signal_score,0.516111,0.578600,E379,R001,-0.029656,true
2026-02-02,002594,policy_signal_score,0.516111,0.578600,E424,R001,0.020682,true
2026-02-02,600104,policy_signal_score,0.516111,0.578600,E425,R001,0.022647,true
2026-02-02,601633,policy_signal_score,0.516111,0.578600,E426,R001,0.020327,true
2026-02-02,601127,policy_signal_score,0.516111,0.578600,E427,R001,0.048311,true
2026-02-02,000625,policy_signal_score,0.516111,0.578600,E428,R001,0.009928,true
2025-08-28,605117,policy_signal_score,0.516111,0.578600,E433,R001,0.108764,true
2025-08-28,300763,policy_signal_score,0.516111,0.578600,E434,R001,0.135735,true
2025-08-28,688390,policy_signal_score,0.516111,0.578600,E435,R001,0.116294,true
2025-08-28,002335,policy_signal_score,0.516111,0.578600,E436,R001,-0.012288,true
2025-08-28,688063,policy_signal_score,0.516111,0.578600,E437,R001,0.129359,true
