trade_date,contract,open,high,low,close,settlement,volume,open_interest,source_name,source_url
2023-07-21,LC2401,238900.0,238900.0,214150.0,215100.0,220700.0,59519,5854,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-21,LC2402,223700.0,230000.0,211600.0,211600.0,214450.0,4099,1222,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-21,LC2403,228000.0,230000.0,211600.0,211600.0,216650.0,764,401,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-21,LC2404,231800.0,231800.0,211600.0,211600.0,216200.0,345,182,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-21,LC2405,220000.0,230000.0,211600.0,211600.0,215750.0,350,213,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-21,LC2406,222200.0,229900.0,211600.0,211600.0,217200.0,39,30,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-21,LC2407,218000.0,230000.0,211600.0,211600.0,214500.0,323,183,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2401,214500.0,214700.0,209000.0,211400.0,211150.0,40662,7680,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2402,207200.0,207200.0,195750.0,199400.0,199850.0,4635,1660,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2403,199000.0,200000.0,184900.0,189650.0,190000.0,1928,724,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2404,191400.0,196000.0,179450.0,182700.0,184350.0,1911,660,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2405,200000.0,200000.0,179100.0,179150.0,181600.0,2259,1123,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2406,193100.0,193100.0,180300.0,180300.0,181650.0,659,342,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-24,LC2407,194000.0,194000.0,178050.0,178050.0,178650.0,1929,933,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2401,211000.0,225900.0,211000.0,225900.0,222050.0,61787,9213,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2402,200900.0,213800.0,200400.0,213800.0,211300.0,5385,1975,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2403,190700.0,203300.0,190700.0,203300.0,199750.0,909,852,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2404,184700.0,197250.0,184700.0,197250.0,193550.0,840,652,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2405,183900.0,194300.0,180100.0,194300.0,190100.0,1484,968,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2406,179500.0,198300.0,175850.0,194150.0,190500.0,1017,407,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-25,LC2407,174000.0,195100.0,174000.0,191350.0,187350.0,2831,953,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2401,226100.0,240450.0,223050.0,227800.0,230900.0,95688,9122,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2402,214600.0,231250.0,214500.0,219100.0,222600.0,4983,1580,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2403,209350.0,219700.0,207000.0,211350.0,214500.0,2835,700,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2404,203000.0,212900.0,201200.0,205050.0,207200.0,1463,527,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2405,198850.0,207950.0,195700.0,199900.0,201950.0,1445,917,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2406,195500.0,203800.0,190250.0,196200.0,198450.0,1029,446,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-26,LC2407,191500.0,200450.0,190900.0,192800.0,195750.0,2495,1216,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2401,234000.0,234100.0,223000.0,224900.0,228050.0,44923,9603,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2402,220000.0,224050.0,216500.0,217500.0,219900.0,1621,1737,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2403,214000.0,215100.0,208000.0,209550.0,212100.0,349,681,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2404,207500.0,208900.0,203000.0,203550.0,205850.0,430,544,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2405,203700.0,204000.0,198500.0,198500.0,201000.0,620,937,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2406,199100.0,199850.0,193500.0,195300.0,197050.0,256,400,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-27,LC2407,192900.0,196500.0,189000.0,191900.0,193500.0,790,1203,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2401,223800.0,230450.0,222050.0,227900.0,227450.0,42934,9217,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2402,216000.0,222000.0,214900.0,220450.0,219350.0,893,1691,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2403,209450.0,215000.0,207400.0,212800.0,211100.0,236,679,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2404,202450.0,210050.0,202300.0,207600.0,206350.0,255,536,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2405,201000.0,204750.0,196500.0,203200.0,201050.0,475,962,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2406,193850.0,201300.0,193500.0,199800.0,198450.0,245,394,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-28,LC2407,191900.0,197850.0,190750.0,196100.0,195400.0,1049,1301,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2401,228300.0,232850.0,227850.0,228050.0,230600.0,33526,9667,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2402,221350.0,224650.0,220300.0,220300.0,222600.0,853,1748,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2403,215100.0,216300.0,212700.0,213300.0,214750.0,374,836,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2404,209550.0,211150.0,207450.0,207950.0,209600.0,146,528,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2405,208550.0,208550.0,203300.0,203300.0,204300.0,384,1041,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2406,200650.0,203500.0,199750.0,200200.0,201100.0,81,391,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-07-31,LC2407,196900.0,200000.0,196000.0,196550.0,197500.0,724,1294,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2401,229000.0,230000.0,225700.0,228400.0,228450.0,20971,9785,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2402,221650.0,222350.0,219400.0,221450.0,221000.0,419,1837,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2403,212450.0,214750.0,212450.0,214150.0,213700.0,102,819,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2404,206500.0,209550.0,206450.0,209550.0,208250.0,64,530,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2405,202950.0,204800.0,202400.0,204500.0,204000.0,130,1017,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2406,200150.0,201450.0,199950.0,201000.0,200650.0,20,390,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
2023-08-01,LC2407,197400.0,198250.0,196300.0,197750.0,197400.0,441,1298,广州期货交易所,https://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml
