doc_id,publish_time,status,model,request_id,error,annotation_input_sha256,prompt_version,annotated_at
LC-TEXT-0001,2023-08-15,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-7b04be079c09304c,,73938e1b76209683cc57ffc1404ab1a9ac5af200c7d1fc8d367a307a1cd0b6a7,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:05:14+08:00
LC-TEXT-0002,2023-09-15,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-722a5c3f31a28730,,917741b505de56318169b7b808b04883b6cc848cab172d5a1c4700b3a3a9ddeb,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:05:19+08:00
LC-TEXT-0003,2023-10-18,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-696728bab89e0cf1,,3736da76c08fcc2f4d0e0c2a11bbd310ee86a0ec6f610e420dfdd2427306d143,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:05:24+08:00
LC-TEXT-0004,2023-11-15,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-6e558fb1022e9dcf,,62e48133558dd72ce106527f7e79c652da3208564ad54a495e7f2fafde161217,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:05:33+08:00
LC-TEXT-0008,2024-05-15,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-424b28fca31a8cdf,,9d514585c5277c8d92c5b1c49832512ad9193a9f8ff0cb5540c83b0fbd54af71,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:08:36+08:00
LC-TEXT-0009,2024-08-16,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-4ea3601b8643558f,,9f3f3dc5eb9535e1f4679317fe271e0688554dcc8322d5ccdb4bad164b8d5a7d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:09:37+08:00
LC-TEXT-0011,2024-12-24,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-3431a956e4dd96c3,,e812ccae2ced2e56835567c4c6d74fa3eaa798a81918825a3c6de7af0a99fd9d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:12:39+08:00
LC-TEXT-0013,2025-01-14,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-b170ba869443dee1,,ec12996a061be6e1f512f817b6d7d31989a80084b9ea580cce39038687d09810,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:54:39+08:00
LC-TEXT-0014,2025-01-16,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-763282e558916664,,1976c897e0a5e1afad26808c86a2b206cd494c1209501d44ccce3b150ae63415,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:54:53+08:00
LC-TEXT-0016,2025-01-23,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-2038766e1ff18ed9,,8dddd184c04f19bfa84a26dcf8ae47efb3e31d741ce8a859c15672e2b2b852f9,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T15:56:17+08:00
LC-TEXT-0025,2025-12-11,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-dcd35601f5aefdc9,,2c2e589f06b0346802e44bbcca4c2ca7ff6b55986904de49e4f175e0ea9f9896,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:04:39+08:00
LC-TEXT-0028,2026-01-12,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-7bee24c6c702ff6e,,2f6934d85bf67cd50b452101c85a1141a19785037b0e79ec8dc804ecbdbc665c,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:05:49+08:00
LC-TEXT-0033,2026-01-30,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-1b66bc7fa04dcfc9,,09a663b1a9e0591273b3d3613192094bd9893b81f5521f1c4d08961501f779a2,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:09:00+08:00
LC-TEXT-0034,2026-02-04,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-f62722a0c271c87d,,bd4e7e87d737f69889a949c87c776619e0e37e024ac0d8cf3188a932f417abc9,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:09:18+08:00
LC-TEXT-0042,2026-04-01,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-279898a0730b32b2,,b03869f912bfbd2339584e26531330eff0f23989f9ce8a908b165daec5f13026,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:12:33+08:00
LC-TEXT-0052,2026-05-18,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-6834c8836eab887e,,5a23762a3f9b7a6dd8d9c256290fab52b76fc3dbf6f711217ff5c35e991008b7,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:17:19+08:00
LC-TEXT-0054,2026-06-01,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-22faecc392ff09d8,,b0220c74b678b6d9e6077ce83adad7cf82571c0461f4afcfced412e23d39aa21,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:17:48+08:00
LC-TEXT-0061,2026-06-24,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-e3bfb157310e039a,,7dcd2f6064de0e0d473b205f778d3ce26551d6b17a8f13bd7c3e159f7aff9b16,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:20:28+08:00
LC-TEXT-0005,2023-12-15,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-f3d2626a6b187eca,,c745e1f65b9c641da7b3d0c62ed8e0faf120d1536613d9723b2c5c642de0b671,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:32:41+08:00
GFEX-WR-20231222,2023-12-22,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-582161676c5fd8a1,,ac4cd865c82bed92b89d72e44875bbae2e72624402ac9e499f9c0ce619272412,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:32:47+08:00
GFEX-WR-20231229,2023-12-29,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-814c7ee90d70c760,,834ffcd6f03c10944df3a4397b759e176c6917dab74c9cebbc45ac5caf1f8f4b,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:32:50+08:00
GFEX-WR-20240105,2024-01-05,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-ee6d4609601e7361,,3cce38debd57ebbc49971fa3c7932fc2a6e519eb602365e48f91855973ad471d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:32:53+08:00
GFEX-WR-20240112,2024-01-12,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-74055f4c12c0e5ae,,347f2f435fdd84351df54eda8066ae200a60026fbcdcd46d99a8ec254d81d966,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:32:55+08:00
GFEX-WR-20240207,2024-02-07,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-d7c8bd37430a547e,,564df9bc795ed0e082b1fe6fae5492ff1679d6c6acdae48fbcec3b54b30e2647,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:32:58+08:00
LC-TEXT-0006,2024-02-20,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-c2fdbc1fcbe90097,,7ae4760c753237cca50ec88b728feb70ee9e216fa1f3e244eb302c09a322d2d3,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:04+08:00
GFEX-WR-20240306,2024-03-06,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-9a958502c272ee9a,,d4554c2076c0429e25f070dc4a1edfc152cd81bff7fa86adeab6f8738cb17300,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:04+08:00
GFEX-WR-20240325,2024-03-25,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-b55ae209f59b5ddc,,1459f2fb74ba451bf24df901d26e7abb7eddc8c50a8f131116a915713b8261c3,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:08+08:00
GFEX-WR-20240328,2024-03-28,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-fac74c1b901510fb,,5f1088bba57eb0d556a81689bb1d1e2e9d38fa3b9fbb30eafb8e1878c5852cb5,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:11+08:00
GFEX-WR-20240329,2024-03-29,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-3db264a30c82dbfa,,36722375db290625f780204536ea294121e70db46586b603b51dae82c64b767a,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:14+08:00
GFEX-WR-20240401,2024-04-01,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-2e19a1ee1437302f,,39f9fc7bc7395cddb847ad5a6db42381762c8f0ed465509abe377de58be04dc8,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:17+08:00
GFEX-WR-20240402,2024-04-02,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-6520270c6fd1d55f,,84fd011b43764e79d7f9719856701b3df409f95fffc7b1ae8a5b3c3e15222a30,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:19+08:00
LC-TEXT-0007,2024-04-02,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-899bc3eb98e4744e,,6b820d94a6bd4261412500949dd2ccb76a3926f43dd75df31f9303b59765dc7d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:27+08:00
GFEX-WR-20240403,2024-04-03,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-79acc9a5b52803ec,,2c13edfc16631e953dc3972c3c39029f85a74e2f651a00091c69906fdd47edae,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:29+08:00
GFEX-WR-20240408,2024-04-08,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-5bb5345366330a40,,c651e7ce771deb2834766a143b74206f178f89dfee5a46da438ebd771e295948,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:32+08:00
GFEX-WR-20240409,2024-04-09,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-d1f33ae6b3367fe3,,20fa43f6674a18089b6ee934986d08e3451715a6d8e0cc0fbdbfcad44ca84645,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:35+08:00
GFEX-WR-20240411,2024-04-11,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-30dd55b5fd7e4dd2,,3e081dacc4a65c5e4ec331c82e4df10fa40521811dd037a88bdb065278788c44,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:38+08:00
GFEX-WR-20240416,2024-04-16,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-99390f32607cd781,,83ceda0a3a81cccf3fd7aea9950eb85df59528052fa46cc331933ea4d80739d4,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:41+08:00
GFEX-WR-20240508,2024-05-08,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-0d24f3c3a172a0cc,,71ecc797603df6c30aea6822c433849b48b1c94863431c38ac555417c444136a,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:45+08:00
GFEX-WR-20240603,2024-06-03,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-a90772f1f3de3ce0,,9d6ca0063c2e24b0780eca0b082f4de111d8c6ed72a31f3362155a7bc83500a5,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:48+08:00
GFEX-WR-20240605,2024-06-05,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-bbdc0de7f2cbb638,,69c11345cf9f75e992b1beed0534fc4437ba4b0c7b7f6bbca4bface4b05ab7e0,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:51+08:00
GFEX-WR-20240704,2024-07-04,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-6dbe4afed4b005b2,,692209755636ce24300c568bf33e1321585ee352f9d3b4c2093f4104e673c24d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:54+08:00
GFEX-WR-20240708,2024-07-08,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-2c587bd8c72207c0,,c07b39fc31f7c87503c9cfe500a71d8481d91816dc101fa056237d449173b834,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:57+08:00
GFEX-WR-20240717,2024-07-17,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-cf151e2e6389842b,,97b377cfcdac5182badbfabd70174d912873f358a7d8d1178b67e11d1413c348,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:33:59+08:00
GFEX-WR-20240719,2024-07-19,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-94f52e701621eeb9,,dcb5c9620337b4fe4b7102c7eb5f310fab84373d6d4647be8d8c6e2c69c75363,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:02+08:00
GFEX-WR-20240723,2024-07-23,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-506f4c3694f1b9cb,,8ad170c85d2babc637d5a9c24be7785b0c558651d191eb28a72925ce57b27a95,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:05+08:00
GFEX-WR-20240729,2024-07-29,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-44fe64e42ae007ab,,11301474ff7b5a3e77dd39304593e80931095bf75dafd7da2a168717cdf3c7e5,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:08+08:00
GFEX-WR-20240730,2024-07-30,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-3704afa70cdfa89b,,712a166bc0fb55f9b31b7bb05c0431730d1f7a52ec65a6cb287be725e059a608,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:11+08:00
GFEX-WR-20240731,2024-07-31,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-4bbfc3782f75566c,,7c84b76b01c7e7c5ae5ce53344fcb324f98b07aa64db2e1b7cceb3f4a99e9800,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:13+08:00
GFEX-WR-20240801,2024-08-01,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-7112bf2b537ab1a8,,795fb9c00cd95946632bb62a133f737f3a9d5ef26496f48df74258fbaae8e3e5,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:16+08:00
GFEX-WR-20240802,2024-08-02,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-c00dc2e0711904c5,,785d47b57ee63ea4c498e20886ced54562d60d8284370c31328f5fc633d2ea86,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:19+08:00
GFEX-WR-20240805,2024-08-05,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-72ff9cb67673be92,,a96a23518afcc4b03e261a963f3c1b7379584767ad36f64f405ba442dbaf1db6,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:22+08:00
GFEX-WR-20240806,2024-08-06,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-be35bcff0d7005d6,,b9a75471261f7b1074ed33ab2f2250659df2ae0bd024b979d440783db41b03ea,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:25+08:00
GFEX-WR-20240807,2024-08-07,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-d22ca459ff81c68e,,fed4776318774ed1db85674399aa6eaa0513f7d6075e312a8bb0e63d2487625c,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:28+08:00
GFEX-WR-20240812,2024-08-12,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-7acb9f7634ed9550,,35d34cc7635ac76bd730f35319f50ae29ab81c40a311058daedf56ada1db5fbf,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:31+08:00
GFEX-WR-20240821,2024-08-21,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-eb547dd1f377ea77,,b37e0c7e4956225a113c1eba4a4af78304f40b1bddcc6d98e1f27cd487b9a81d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:34+08:00
GFEX-WR-20240823,2024-08-23,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-cd59bdb6af4d7c81,,4977a088914b7120d4bc2277c3e56771e94d7282638f531fdba846a94d518a4e,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:37+08:00
GFEX-WR-20240827,2024-08-27,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-fb8f09c9522d5a16,,3dda9288274a4754c729c1758735ce46c228f83bc00a4f91af7114efae417674,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:40+08:00
GFEX-WR-20240830,2024-08-30,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-f41d25fad0e11ecd,,41d05504d9f3049eb97b31109dd5a015631cae96c78ab03164aab1a69ccc6fa0,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:43+08:00
GFEX-WR-20240904,2024-09-04,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-1081aa583e6d7db0,,41da9b178cb958f74ae8c9269abd5d8f02149665de0b76d8944ef1a9e11da6bf,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:34:46+08:00
