trade_date,variety,warehouse_receipt,change,source_name,source_url
2023-12-06,碳酸锂,40.0,40.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-07,碳酸锂,40.0,0.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-08,碳酸锂,100.0,60.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-11,碳酸锂,300.0,200.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-12,碳酸锂,510.0,210.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-13,碳酸锂,710.0,200.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-14,碳酸锂,1010.0,300.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-15,碳酸锂,1240.0,230.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-18,碳酸锂,1540.0,300.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-19,碳酸锂,1840.0,300.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-20,碳酸锂,2080.0,240.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-21,碳酸锂,2580.0,500.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-22,碳酸锂,3550.0,970.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-25,碳酸锂,4360.0,810.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-26,碳酸锂,5160.0,800.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-27,碳酸锂,5950.0,790.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-28,碳酸锂,6710.0,760.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2023-12-29,碳酸锂,7530.0,820.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-02,碳酸锂,8240.0,710.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-03,碳酸锂,9040.0,800.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-04,碳酸锂,9718.0,678.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-05,碳酸锂,10740.0,1022.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-08,碳酸锂,10975.0,235.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-09,碳酸锂,11440.0,465.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-10,碳酸锂,11427.0,-13.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-11,碳酸锂,11588.0,161.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-12,碳酸锂,13238.0,1650.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-15,碳酸锂,13268.0,30.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-16,碳酸锂,13268.0,0.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-17,碳酸锂,13418.0,150.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-18,碳酸锂,13546.0,128.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-19,碳酸锂,13554.0,8.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-22,碳酸锂,13700.0,146.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-23,碳酸锂,13950.0,250.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-24,碳酸锂,14134.0,184.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-25,碳酸锂,14134.0,0.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-26,碳酸锂,14454.0,320.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-29,碳酸锂,14894.0,440.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-30,碳酸锂,14987.0,93.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-01-31,碳酸锂,14987.0,0.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-01,碳酸锂,15317.0,330.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-02,碳酸锂,15587.0,270.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-05,碳酸锂,15924.0,337.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-06,碳酸锂,16054.0,130.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-07,碳酸锂,16894.0,840.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-08,碳酸锂,16914.0,20.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-19,碳酸锂,16790.0,-124.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-20,碳酸锂,16240.0,-550.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-21,碳酸锂,16232.0,-8.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-22,碳酸锂,16151.0,-81.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-23,碳酸锂,15709.0,-442.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-26,碳酸锂,15639.0,-70.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-27,碳酸锂,15689.0,50.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-28,碳酸锂,15355.0,-334.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-02-29,碳酸锂,15755.0,400.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-01,碳酸锂,15520.0,-235.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-04,碳酸锂,15330.0,-190.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-05,碳酸锂,15477.0,147.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-06,碳酸锂,13415.0,-2062.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-07,碳酸锂,13522.0,107.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-08,碳酸锂,13466.0,-56.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-11,碳酸锂,13750.0,284.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-12,碳酸锂,14426.0,676.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-13,碳酸锂,14721.0,295.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-14,碳酸锂,14605.0,-116.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-15,碳酸锂,14453.0,-152.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-18,碳酸锂,14363.0,-90.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-19,碳酸锂,13798.0,-565.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-20,碳酸锂,13491.0,-307.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-21,碳酸锂,13503.0,12.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-22,碳酸锂,14002.0,499.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-25,碳酸锂,13101.0,-901.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-26,碳酸锂,13578.0,477.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-27,碳酸锂,14291.0,713.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-28,碳酸锂,12980.0,-1311.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-03-29,碳酸锂,0.0,-12980.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-01,碳酸锂,9995.0,9995.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-02,碳酸锂,11442.0,1447.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-03,碳酸锂,12702.0,1260.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-08,碳酸锂,13692.0,990.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-09,碳酸锂,15232.0,1540.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-10,碳酸锂,15778.0,546.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-11,碳酸锂,16830.0,1052.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-12,碳酸锂,17440.0,610.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-15,碳酸锂,17869.0,429.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-16,碳酸锂,18882.0,1013.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-17,碳酸锂,19422.0,540.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-18,碳酸锂,19642.0,220.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-19,碳酸锂,19677.0,35.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-22,碳酸锂,19727.0,50.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-23,碳酸锂,19137.0,-590.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-24,碳酸锂,19524.0,387.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-25,碳酸锂,19413.0,-111.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
2024-04-26,碳酸锂,19613.0,200.0,广州期货交易所,https://www.gfex.com.cn/gfex/cdrb/hqsj_tjsj.shtml
