doc_id,stock_code,stock_name,industry,confidence,evidence
HIST-POLICY-2015-01,601012,隆基绿能,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-01,300274,阳光电源,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-01,600438,通威股份,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-01,688599,天合光能,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-01,002459,晶澳科技,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-01,002129,TCL中环,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,601012,隆基绿能,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,300274,阳光电源,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,600438,通威股份,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,688599,天合光能,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,002459,晶澳科技,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,002129,TCL中环,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2015-02,002202,金风科技,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2015-02,601615,明阳智能,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2015-02,688349,三一重能,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2015-02,002080,中材科技,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2015-02,300772,运达股份,风电,0.78,"产业主题映射""风电""→风电"
HIST-NBS-012,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-012,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-012,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-012,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-012,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-POLICY-2016-01,002202,金风科技,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-01,601615,明阳智能,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-01,688349,三一重能,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-01,002080,中材科技,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-01,300772,运达股份,风电,0.78,"产业主题映射""风电""→风电"
HIST-NBS-013,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-013,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-013,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-013,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-013,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-014,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-014,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-014,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-014,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-014,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-POLICY-2016-02,601012,隆基绿能,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2016-02,300274,阳光电源,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2016-02,600438,通威股份,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2016-02,688599,天合光能,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2016-02,002459,晶澳科技,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2016-02,002129,TCL中环,光伏,0.78,"产业主题映射""光伏""→光伏"
HIST-POLICY-2016-02,002202,金风科技,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-02,601615,明阳智能,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-02,688349,三一重能,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-02,002080,中材科技,风电,0.78,"产业主题映射""风电""→风电"
HIST-POLICY-2016-02,300772,运达股份,风电,0.78,"产业主题映射""风电""→风电"
HIST-NBS-015,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-015,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-015,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-015,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-015,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-016,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-016,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-016,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-016,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-016,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-017,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-017,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-017,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-017,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-017,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-018,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-018,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-018,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-018,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-018,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-019,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-019,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-019,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-019,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-019,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
HIST-NBS-020,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
