event_id,doc_id,stock_code,event_type,event_time,subject,object,impact_path,evidence_text,evidence_strength
ME0001,HIST-NBS-012,002594,attention_spread,2016-03-12,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0002,HIST-NBS-012,600104,attention_spread,2016-03-12,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0003,HIST-NBS-012,601633,attention_spread,2016-03-12,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0004,HIST-NBS-012,601127,attention_spread,2016-03-12,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0005,HIST-NBS-012,000625,attention_spread,2016-03-12,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0006,HIST-NBS-013,002594,attention_spread,2016-04-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0007,HIST-NBS-013,600104,attention_spread,2016-04-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0008,HIST-NBS-013,601633,attention_spread,2016-04-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0009,HIST-NBS-013,601127,attention_spread,2016-04-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0010,HIST-NBS-013,000625,attention_spread,2016-04-15,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
