doc_id,release_date,period_end_described,fetch_status,fetched_chars,accepted,source_url,error
HIST-NBS-001,2015-03-11,2015-02-28,ok,9662,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898726.html,
HIST-NBS-002,2015-04-15,2015-03-31,ok,10922,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898754.html,
HIST-NBS-003,2015-05-13,2015-04-30,ok,11054,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898779.html,
HIST-NBS-004,2015-06-11,2015-05-31,ok,11002,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898809.html,
HIST-NBS-005,2015-07-15,2015-06-30,ok,11008,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898844.html,
HIST-NBS-006,2015-08-12,2015-07-31,ok,10990,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898870.html,
HIST-NBS-007,2015-09-13,2015-08-31,ok,11020,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898902.html,
HIST-NBS-008,2015-10-19,2015-09-30,ok,10994,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898932.html,
HIST-NBS-009,2015-11-11,2015-10-31,ok,11066,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898952.html,
HIST-NBS-010,2015-12-12,2015-11-30,ok,11076,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1898985.html,
HIST-NBS-011,2016-01-19,2015-12-31,ok,11096,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899018.html,
HIST-NBS-012,2016-03-12,2016-02-29,ok,9608,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899062.html,
HIST-NBS-013,2016-04-15,2016-03-31,ok,11100,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899090.html,
HIST-NBS-014,2016-05-14,2016-04-30,ok,11148,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899119.html,
HIST-NBS-015,2016-06-13,2016-05-31,ok,11130,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899155.html,
HIST-NBS-016,2016-07-15,2016-06-30,ok,11392,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899188.html,
HIST-NBS-017,2016-08-12,2016-07-31,ok,11442,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899220.html,
HIST-NBS-018,2016-09-13,2016-08-31,ok,11424,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899256.html,
HIST-NBS-019,2016-10-19,2016-09-30,ok,11414,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899288.html,
HIST-NBS-020,2016-11-14,2016-10-31,ok,11438,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899328.html,
HIST-NBS-021,2016-12-13,2016-11-30,ok,11470,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899357.html,
HIST-NBS-022,2017-01-20,2016-12-31,ok,11484,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899396.html,
HIST-NBS-023,2017-03-14,2017-02-28,ok,9796,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899442.html,
HIST-NBS-024,2017-04-17,2017-03-31,ok,11366,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899471.html,
HIST-NBS-025,2017-05-15,2017-04-30,ok,11446,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899508.html,
HIST-NBS-026,2017-06-14,2017-05-31,ok,11348,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899543.html,
HIST-NBS-027,2017-07-17,2017-06-30,ok,11390,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899577.html,
HIST-NBS-028,2017-08-14,2017-07-31,ok,11416,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899615.html,
HIST-NBS-029,2017-09-14,2017-08-31,ok,11440,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899649.html,
HIST-NBS-030,2017-10-19,2017-09-30,ok,11424,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899685.html,
HIST-NBS-031,2017-11-14,2017-10-31,ok,11464,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899729.html,
HIST-NBS-032,2017-12-14,2017-11-30,ok,11472,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899765.html,
HIST-NBS-033,2018-01-18,2017-12-31,ok,11454,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899815.html,
HIST-NBS-034,2018-03-14,2018-02-28,ok,9778,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899863.html,
HIST-NBS-035,2018-04-17,2018-03-31,ok,11326,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899898.html,
HIST-NBS-036,2018-05-15,2018-04-30,ok,11380,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899934.html,
HIST-NBS-037,2018-06-14,2018-05-31,ok,11524,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899961.html,
HIST-NBS-038,2018-07-16,2018-06-30,ok,11802,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899990.html,
HIST-NBS-039,2018-08-14,2018-07-31,ok,11788,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900026.html,
HIST-NBS-040,2018-09-14,2018-08-31,ok,11782,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900074.html,
HIST-NBS-041,2018-10-19,2018-09-30,ok,11888,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900105.html,
HIST-NBS-042,2018-11-14,2018-10-31,ok,11844,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900142.html,
HIST-NBS-043,2018-12-14,2018-11-30,ok,11902,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900172.html,
HIST-NBS-044,2019-01-21,2018-12-31,ok,11910,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900207.html,
HIST-NBS-045,2019-04-17,2019-03-31,ok,12202,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900277.html,
HIST-NBS-046,2019-05-15,2019-04-30,ok,12182,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900316.html,
HIST-NBS-047,2019-06-14,2019-05-31,ok,12118,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900342.html,
HIST-NBS-048,2019-09-16,2019-08-31,ok,12104,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900448.html,
HIST-NBS-049,2019-11-14,2019-10-31,ok,12162,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900513.html,
HIST-NBS-050,2020-05-15,2020-04-30,ok,11812,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900719.html,
HIST-NBS-051,2020-07-16,2020-06-30,ok,11842,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900781.html,
HIST-NBS-052,2020-08-14,2020-07-31,ok,11780,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900822.html,
HIST-NBS-053,2020-09-15,2020-08-31,ok,11776,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900848.html,
HIST-NBS-054,2020-10-19,2020-09-30,ok,11968,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900871.html,
HIST-NBS-055,2020-11-16,2020-10-31,ok,11814,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900909.html,
HIST-NBS-056,2020-12-15,2020-11-30,ok,12122,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900933.html,
HIST-NBS-057,2021-01-18,2020-12-31,ok,12088,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900965.html,
HIST-NBS-058,2021-03-15,2021-02-28,ok,10146,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901025.html,
HIST-NBS-059,2021-04-16,2021-03-31,ok,11526,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901047.html,
HIST-NBS-060,2021-05-17,2021-04-30,ok,11538,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901099.html,
HIST-NBS-061,2021-06-16,2021-05-31,ok,11526,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901126.html,
HIST-NBS-062,2021-07-15,2021-06-30,ok,11562,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901155.html,
HIST-NBS-063,2021-08-16,2021-07-31,ok,11524,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901191.html,
HIST-NBS-064,2021-09-15,2021-08-31,ok,4063,true,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202109/t20210915_1822092.html,
HIST-NBS-065,2021-10-18,2021-09-30,ok,11702,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901241.html,
HIST-NBS-066,2021-11-15,2021-10-31,ok,11556,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901279.html,
HIST-NBS-067,2021-12-15,2021-11-30,ok,4747,true,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202112/t20211215_1825294.html,
HIST-NBS-068,2022-01-17,2021-12-31,ok,11534,true,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901337.html,
