trade_date,security_code,asset_type,open,close,high,low,volume,source_name,source_url
"2021-02-04","516160","risk_etf","3.170","3.131","3.206","3.076","1587134","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-05","516160","risk_etf","3.154","3.083","3.212","3.070","1929955","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-08","516160","risk_etf","3.076","3.112","3.115","2.976","1181278","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-09","516160","risk_etf","3.112","3.225","3.232","3.112","1441479","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-10","516160","risk_etf","3.235","3.284","3.300","3.199","2734522","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-18","516160","risk_etf","3.381","3.251","3.387","3.209","1812204","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-19","516160","risk_etf","3.212","3.203","3.235","3.106","1857902","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-22","516160","risk_etf","3.196","3.141","3.267","3.141","1637359","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-23","516160","risk_etf","3.138","3.122","3.154","3.067","1119688","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-24","516160","risk_etf","3.109","2.970","3.128","2.934","2682099","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-25","516160","risk_etf","3.009","2.941","3.028","2.921","1282909","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-02-26","516160","risk_etf","2.889","2.889","2.908","2.814","1335074","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-01","516160","risk_etf","2.918","2.986","3.002","2.918","1076167","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-02","516160","risk_etf","3.009","2.976","3.025","2.937","1075153","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-03","516160","risk_etf","2.960","2.983","2.983","2.908","902242","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-04","516160","risk_etf","2.960","2.789","2.960","2.776","2884824","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-05","516160","risk_etf","2.724","2.785","2.814","2.698","1118466","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-08","516160","risk_etf","2.795","2.633","2.814","2.630","1383493","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-09","516160","risk_etf","2.627","2.578","2.669","2.507","1237786","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-10","516160","risk_etf","2.646","2.614","2.675","2.601","930252","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-11","516160","risk_etf","2.620","2.704","2.714","2.604","1249107","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-12","516160","risk_etf","2.727","2.747","2.766","2.688","1051160","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-15","516160","risk_etf","2.747","2.646","2.750","2.614","965807","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-16","516160","risk_etf","2.640","2.653","2.672","2.601","645402","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-17","516160","risk_etf","2.649","2.695","2.701","2.598","746144","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-18","516160","risk_etf","2.695","2.727","2.737","2.692","637039","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-19","516160","risk_etf","2.669","2.643","2.688","2.620","822718","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-22","516160","risk_etf","2.637","2.682","2.701","2.637","651115","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-23","516160","risk_etf","2.682","2.604","2.682","2.582","1254544","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-24","516160","risk_etf","2.588","2.552","2.617","2.536","891716","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-25","516160","risk_etf","2.527","2.556","2.569","2.497","643425","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-26","516160","risk_etf","2.569","2.672","2.682","2.559","1727207","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-29","516160","risk_etf","2.666","2.649","2.675","2.633","663494","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-30","516160","risk_etf","2.640","2.701","2.708","2.624","895985","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-03-31","516160","risk_etf","2.701","2.695","2.708","2.659","734341","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-01","516160","risk_etf","2.698","2.721","2.756","2.698","817085","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-02","516160","risk_etf","2.724","2.730","2.750","2.695","544446","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-06","516160","risk_etf","2.740","2.769","2.795","2.734","764276","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-07","516160","risk_etf","2.782","2.727","2.782","2.698","595353","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-08","516160","risk_etf","2.704","2.708","2.717","2.679","430094","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-09","516160","risk_etf","2.714","2.656","2.714","2.646","617503","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-12","516160","risk_etf","2.656","2.588","2.669","2.569","870928","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-13","516160","risk_etf","2.588","2.594","2.620","2.569","589671","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-14","516160","risk_etf","2.607","2.672","2.675","2.598","834002","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-15","516160","risk_etf","2.656","2.672","2.685","2.633","511330","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-16","516160","risk_etf","2.672","2.662","2.679","2.611","685631","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-19","516160","risk_etf","2.662","2.785","2.792","2.646","1719438","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-20","516160","risk_etf","2.782","2.795","2.840","2.756","1192140","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-21","516160","risk_etf","2.779","2.785","2.811","2.750","597482","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-22","516160","risk_etf","2.808","2.795","2.827","2.763","592952","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-23","516160","risk_etf","2.798","2.844","2.853","2.785","746914","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-26","516160","risk_etf","2.844","2.802","2.899","2.795","966115","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-27","516160","risk_etf","2.805","2.785","2.818","2.747","786643","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-28","516160","risk_etf","2.776","2.847","2.860","2.776","876502","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-29","516160","risk_etf","2.850","2.853","2.863","2.814","620870","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-04-30","516160","risk_etf","2.853","2.931","2.944","2.837","1651119","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-06","516160","risk_etf","2.928","2.915","2.957","2.860","1170407","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-07","516160","risk_etf","2.905","2.850","2.944","2.840","896997","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-10","516160","risk_etf","2.847","2.876","2.886","2.802","715043","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-11","516160","risk_etf","2.850","2.834","2.850","2.766","936885","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-12","516160","risk_etf","2.814","2.831","2.844","2.798","730345","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-13","516160","risk_etf","2.798","2.769","2.802","2.763","853728","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-14","516160","risk_etf","2.769","2.824","2.831","2.740","793513","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-17","516160","risk_etf","2.827","2.918","2.928","2.818","1481877","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-18","516160","risk_etf","2.918","2.915","2.944","2.902","701376","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-19","516160","risk_etf","2.918","2.979","2.992","2.886","1288729","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-20","516160","risk_etf","2.973","2.973","3.002","2.947","910636","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-21","516160","risk_etf","3.005","2.983","3.038","2.954","897927","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-24","516160","risk_etf","2.996","2.996","2.999","2.950","788384","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-25","516160","risk_etf","2.996","3.025","3.028","2.966","886633","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-26","516160","risk_etf","3.021","2.989","3.028","2.979","774609","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-27","516160","risk_etf","2.999","2.996","3.005","2.973","642113","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-28","516160","risk_etf","2.999","3.086","3.141","2.992","2281005","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-05-31","516160","risk_etf","3.106","3.225","3.238","3.102","2112591","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-01","516160","risk_etf","3.222","3.206","3.225","3.148","1176352","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-02","516160","risk_etf","3.219","3.183","3.254","3.161","1144245","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-03","516160","risk_etf","3.183","3.131","3.193","3.109","826871","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-04","516160","risk_etf","3.119","3.177","3.219","3.093","1184665","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-07","516160","risk_etf","3.161","3.125","3.170","3.089","1046125","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-08","516160","risk_etf","3.119","3.096","3.186","3.070","1040211","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-09","516160","risk_etf","3.093","3.112","3.119","3.073","563369","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-10","516160","risk_etf","3.122","3.245","3.267","3.115","2626035","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-11","516160","risk_etf","3.271","3.303","3.335","3.235","2211018","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-15","516160","risk_etf","3.313","3.271","3.342","3.232","1057481","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-16","516160","risk_etf","3.241","3.102","3.245","3.080","1802612","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-17","516160","risk_etf","3.102","3.157","3.161","3.089","703940","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-18","516160","risk_etf","3.174","3.271","3.296","3.164","1573653","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-21","516160","risk_etf","3.271","3.316","3.358","3.235","1732652","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-22","516160","risk_etf","3.326","3.326","3.351","3.267","998746","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-23","516160","risk_etf","3.335","3.400","3.432","3.335","1922348","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-24","516160","risk_etf","3.432","3.426","3.452","3.368","1164272","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-25","516160","risk_etf","3.432","3.474","3.487","3.416","1299250","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-28","516160","risk_etf","3.474","3.529","3.558","3.474","1351689","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-29","516160","risk_etf","3.565","3.578","3.617","3.549","1488610","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-06-30","516160","risk_etf","3.575","3.652","3.656","3.526","1493194","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-01","516160","risk_etf","3.656","3.562","3.668","3.546","1357264","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-02","516160","risk_etf","3.536","3.536","3.601","3.500","1184612","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-05","516160","risk_etf","3.520","3.610","3.623","3.513","1076675","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-06","516160","risk_etf","3.617","3.571","3.685","3.507","1427824","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-07","516160","risk_etf","3.536","3.791","3.795","3.507","2144906","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-08","516160","risk_etf","3.817","3.892","3.931","3.817","1777196","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-09","516160","risk_etf","3.833","3.937","3.963","3.785","1750341","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-12","516160","risk_etf","3.982","4.083","4.125","3.982","1838936","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-13","516160","risk_etf","4.086","4.092","4.105","4.015","1381305","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-14","516160","risk_etf","4.066","3.956","4.066","3.931","1730093","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-15","516160","risk_etf","3.905","4.089","4.092","3.905","1700419","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-16","516160","risk_etf","4.079","3.973","4.128","3.956","1477978","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-19","516160","risk_etf","3.943","3.905","4.044","3.872","1429719","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-20","516160","risk_etf","3.872","3.960","3.969","3.850","1019058","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-21","516160","risk_etf","3.979","4.154","4.170","3.979","1827859","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-22","516160","risk_etf","4.180","4.228","4.228","4.125","1582811","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-23","516160","risk_etf","4.215","4.196","4.332","4.167","1550836","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-26","516160","risk_etf","4.193","4.173","4.235","4.011","1654195","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-27","516160","risk_etf","4.173","3.911","4.254","3.892","2601741","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-28","516160","risk_etf","3.863","3.895","3.986","3.743","2042312","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-29","516160","risk_etf","4.024","4.176","4.189","3.979","2152287","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-07-30","516160","risk_etf","4.180","4.235","4.293","4.144","2548219","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-02","516160","risk_etf","4.264","4.260","4.374","4.134","2955786","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-03","516160","risk_etf","4.244","4.076","4.251","4.034","2320138","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-04","516160","risk_etf","4.037","4.358","4.364","4.037","3108816","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-05","516160","risk_etf","4.361","4.377","4.409","4.267","1582284","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-06","516160","risk_etf","4.442","4.451","4.542","4.387","1791431","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-09","516160","risk_etf","4.432","4.315","4.432","4.196","2558623","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-10","516160","risk_etf","4.296","4.286","4.393","4.180","2128277","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-11","516160","risk_etf","4.290","4.328","4.361","4.218","1870096","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-12","516160","risk_etf","4.312","4.322","4.345","4.231","1306602","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-13","516160","risk_etf","4.238","4.277","4.419","4.235","1431738","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-16","516160","risk_etf","4.215","4.144","4.251","4.118","1615945","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-17","516160","risk_etf","4.125","4.138","4.225","4.079","1593643","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-18","516160","risk_etf","4.125","4.092","4.196","4.060","1481541","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-19","516160","risk_etf","4.115","4.193","4.248","4.024","1839878","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-20","516160","risk_etf","4.173","4.193","4.257","4.121","1256409","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-23","516160","risk_etf","4.218","4.306","4.312","4.157","2472042","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
"2021-08-24","516160","risk_etf","4.309","4.396","4.477","4.299","2549221","东方财富行情接口","https://push2his.eastmoney.com/api/qt/stock/kline/get"
