strategy,cost_bps,annual_return,annual_volatility,sharpe,calmar,max_drawdown,monthly_win_rate,annual_turnover,worst_month,sample_months,tradable
buy_hold,5,0.049509,0.360112,0.137482,0.189612,-0.261106,0.444444,0.000000,-0.181727,27,true
trend,5,0.086254,0.105223,0.819722,0.973810,-0.088574,0.666667,0.672550,-0.056396,27,true
trend_latest_macro,5,0.068822,0.080140,0.858769,0.946032,-0.072748,0.666667,0.776398,-0.056446,27,true
trend_alphalens,5,0.031158,0.064370,0.484042,0.376900,-0.082669,0.666667,0.776009,-0.056446,27,true
trend_oracle,5,0.035966,0.064418,0.558314,0.456153,-0.078846,0.629630,0.803322,-0.056396,27,false
buy_hold,10,0.049509,0.360112,0.137482,0.189612,-0.261106,0.444444,0.000000,-0.181727,27,true
trend,10,0.085894,0.105198,0.816500,0.969335,-0.088611,0.666667,0.672550,-0.056416,27,true
trend_latest_macro,10,0.068416,0.080046,0.854712,0.938369,-0.072910,0.666667,0.776398,-0.056515,27,true
trend_alphalens,10,0.030757,0.064400,0.477590,0.371079,-0.082885,0.666667,0.776009,-0.056515,27,true
trend_oracle,10,0.035551,0.064410,0.551955,0.450260,-0.078957,0.629630,0.803322,-0.056416,27,false
buy_hold,20,0.049509,0.360112,0.137482,0.189612,-0.261106,0.444444,0.000000,-0.181727,27,true
trend,20,0.085174,0.105147,0.810050,0.960401,-0.088686,0.666667,0.672550,-0.056454,27,true
trend_latest_macro,20,0.067606,0.079859,0.846565,0.923150,-0.073234,0.666667,0.776398,-0.056654,27,true
trend_alphalens,20,0.029955,0.064460,0.464704,0.359533,-0.083316,0.666667,0.776009,-0.056654,27,true
trend_oracle,20,0.034723,0.064394,0.539225,0.438531,-0.079180,0.629630,0.803322,-0.056454,27,false
