trade_date,stock_code,open,high,low,close,volume,adj_factor
2024-01-02,000625,16.05,16.20,15.55,15.55,199517800,1.000000
2024-01-02,002074,21.32,21.34,20.80,20.80,10567800,1.000000
2024-01-02,002080,14.73,14.73,14.52,14.52,7924000,1.000000
2024-01-02,002129,15.38,15.38,14.89,14.91,78145400,1.000000
2024-01-02,002202,7.76,7.78,7.67,7.68,18001700,1.000000
2024-01-02,002335,18.55,18.56,18.21,18.23,6054200,1.000000
2024-01-02,002459,20.01,20.13,19.37,19.44,52564400,1.000000
2024-01-02,002594,64.18,64.18,61.77,61.84,11392800,1.000000
2024-01-02,002812,55.29,55.29,53.34,53.34,12499700,1.000000
2024-01-02,300014,40.79,40.79,39.37,39.37,19361600,1.000000
2024-01-02,300073,36.97,36.97,36.38,36.52,4554000,1.000000
2024-01-02,300207,14.33,14.33,14.04,14.04,20592300,1.000000
2024-01-02,300274,59.30,59.37,57.68,57.80,13401800,1.000000
2024-01-02,300438,28.06,28.22,27.59,27.59,11755300,1.000000
2024-01-02,300450,25.12,25.16,24.23,24.25,18528000,1.000000
2024-01-02,300750,143.52,143.83,137.92,138.13,21403300,1.000000
2024-01-02,300763,69.10,69.30,67.70,67.82,7005700,1.000000
2024-01-02,300772,10.41,10.61,10.34,10.48,7839500,1.000000
2024-01-02,600104,13.11,13.30,12.96,12.97,18821000,1.000000
2024-01-02,600438,24.10,24.15,23.66,23.75,27762700,1.000000
2024-01-02,601012,22.44,22.72,22.03,22.03,158862000,1.000000
2024-01-02,601127,75.09,76.47,70.31,70.94,66795500,1.000000
2024-01-02,601615,11.81,11.84,11.57,11.61,20397000,1.000000
2024-01-02,601633,24.21,24.25,23.55,23.55,13285400,1.000000
2024-01-02,603659,20.54,20.54,19.69,19.73,12356200,1.000000
2024-01-02,605117,25.10,25.10,24.01,24.06,20207700,1.000000
2024-01-02,688063,74.41,74.78,72.55,72.63,2782700,1.000000
2024-01-02,688349,20.63,20.93,20.50,20.51,1347500,1.000000
2024-01-02,688390,92.32,92.32,88.91,89.76,4209200,1.000000
2024-01-02,688599,27.92,27.93,27.15,27.21,14744400,1.000000
2024-01-03,000625,15.49,15.53,14.99,15.10,191319100,1.000000
2024-01-03,002074,20.78,20.95,20.63,20.80,6398700,1.000000
2024-01-03,002080,14.48,14.58,14.42,14.55,5356200,1.000000
2024-01-03,002129,14.84,15.08,14.66,14.79,57121600,1.000000
2024-01-03,002202,7.65,7.71,7.62,7.68,17961400,1.000000
2024-01-03,002335,18.23,18.32,17.89,18.11,6056100,1.000000
2024-01-03,002459,19.37,19.62,19.05,19.27,42878500,1.000000
2024-01-03,002594,61.81,62.27,61.21,62.03,8448600,1.000000
2024-01-03,002812,53.19,53.95,52.75,53.35,10821900,1.000000
2024-01-03,300014,39.12,39.60,38.94,39.44,13904300,1.000000
2024-01-03,300073,36.37,36.65,36.17,36.54,3852700,1.000000
2024-01-03,300207,13.98,14.16,13.88,14.02,16201900,1.000000
2024-01-03,300274,57.78,58.14,56.69,57.63,13105900,1.000000
2024-01-03,300438,27.56,28.08,27.34,27.80,14832800,1.000000
2024-01-03,300450,24.28,24.47,23.92,24.21,12904500,1.000000
2024-01-03,300750,137.40,138.58,135.70,137.10,19757600,1.000000
2024-01-03,300763,67.68,68.97,66.83,67.55,6849500,1.000000
2024-01-03,300772,10.45,10.57,10.39,10.55,5952100,1.000000
2024-01-03,600104,12.95,13.08,12.92,13.05,12174700,1.000000
2024-01-03,600438,23.68,24.18,23.65,23.96,27706800,1.000000
2024-01-03,601012,22.03,22.41,21.92,22.22,129243500,1.000000
2024-01-03,601127,69.61,71.55,67.77,70.48,37229600,1.000000
2024-01-03,601615,11.53,11.70,11.49,11.58,18821800,1.000000
2024-01-03,601633,23.43,23.49,22.85,23.05,16160700,1.000000
2024-01-03,603659,19.73,19.85,19.50,19.68,9812200,1.000000
2024-01-03,605117,24.36,24.62,23.78,24.23,13371700,1.000000
2024-01-03,688063,72.29,74.49,72.28,73.55,3048000,1.000000
2024-01-03,688349,20.47,20.69,20.40,20.43,1322700,1.000000
2024-01-03,688390,89.01,92.26,89.01,91.26,4467900,1.000000
2024-01-03,688599,27.13,27.61,27.05,27.30,10884900,1.000000
2024-01-04,000625,15.09,15.18,14.57,14.60,173990400,1.000000
2024-01-04,002074,20.75,20.79,20.33,20.44,6084800,1.000000
2024-01-04,002080,14.48,14.52,14.13,14.28,7020700,1.000000
2024-01-04,002129,14.74,14.75,14.12,14.32,82080600,1.000000
2024-01-04,002202,7.68,7.68,7.44,7.55,21364800,1.000000
2024-01-04,002335,18.05,18.10,17.68,17.77,4411100,1.000000
2024-01-04,002459,19.26,19.26,18.66,18.81,39272300,1.000000
2024-01-04,002594,62.42,62.53,61.34,61.98,8987000,1.000000
2024-01-04,002812,53.38,53.44,51.54,51.76,9995800,1.000000
2024-01-04,300014,39.40,39.40,37.92,38.12,17091700,1.000000
2024-01-04,300073,36.48,36.57,35.50,35.57,4579800,1.000000
2024-01-04,300207,14.00,14.01,13.58,13.65,18450100,1.000000
2024-01-04,300274,57.13,57.47,55.70,55.83,13740500,1.000000
2024-01-04,300438,27.69,27.70,26.78,26.94,13074200,1.000000
2024-01-04,300450,24.20,24.20,23.69,23.87,13631300,1.000000
2024-01-04,300750,136.80,137.02,131.07,132.50,27241800,1.000000
2024-01-04,300763,67.30,67.36,65.39,66.05,6691000,1.000000
2024-01-04,300772,10.53,10.67,10.46,10.58,6786000,1.000000
2024-01-04,600104,13.06,13.11,12.86,12.97,16882100,1.000000
2024-01-04,600438,23.90,23.97,23.30,23.40,28679800,1.000000
2024-01-04,601012,22.11,22.13,21.58,21.81,111338100,1.000000
2024-01-04,601127,70.47,71.05,67.09,67.11,48393700,1.000000
2024-01-04,601615,11.58,11.58,11.25,11.37,18568000,1.000000
2024-01-04,601633,23.00,23.00,22.46,22.74,16436300,1.000000
2024-01-04,603659,19.59,19.74,19.19,19.37,9265500,1.000000
2024-01-04,605117,23.85,24.49,23.37,23.65,12544000,1.000000
2024-01-04,688063,73.13,73.98,70.21,70.93,3469800,1.000000
2024-01-04,688349,20.62,20.62,20.11,20.22,1200500,1.000000
2024-01-04,688390,90.66,93.26,89.19,90.43,4138500,1.000000
2024-01-04,688599,27.31,27.43,26.37,26.85,14799000,1.000000
2024-01-05,000625,14.61,14.72,14.12,14.20,173385400,1.000000
2024-01-05,002074,20.74,21.34,20.25,20.35,16795700,1.000000
2024-01-05,002080,14.42,14.48,13.97,14.03,8510900,1.000000
2024-01-05,002129,14.22,14.50,13.82,13.92,75461800,1.000000
2024-01-05,002202,7.54,7.61,7.39,7.43,14993700,1.000000
2024-01-05,002335,17.83,17.96,17.17,17.25,6274500,1.000000
2024-01-05,002459,18.78,19.08,18.14,18.29,45142000,1.000000
2024-01-05,002594,61.80,63.48,61.35,61.87,11240200,1.000000
2024-01-05,002812,51.57,53.52,50.48,50.86,13710000,1.000000
2024-01-05,300014,37.95,40.03,37.72,38.01,24625200,1.000000
2024-01-05,300073,35.67,37.05,35.34,35.49,8032600,1.000000
2024-01-05,300207,13.73,14.05,13.41,13.50,26257400,1.000000
2024-01-05,300274,55.43,56.82,53.57,54.04,18694500,1.000000
2024-01-05,300438,27.16,28.30,26.71,26.85,22469800,1.000000
2024-01-05,300450,23.88,24.58,23.41,23.55,19938400,1.000000
2024-01-05,300750,132.29,136.03,130.79,132.20,21035300,1.000000
2024-01-05,300763,65.55,67.39,63.90,64.49,7103000,1.000000
2024-01-05,300772,10.57,10.71,10.30,10.36,6388100,1.000000
2024-01-05,600104,12.97,13.08,12.82,12.89,17574800,1.000000
2024-01-05,600438,23.40,23.94,22.96,23.10,26914600,1.000000
2024-01-05,601012,21.69,22.08,21.20,21.41,113427200,1.000000
2024-01-05,601127,68.34,69.11,66.49,67.73,45430700,1.000000
2024-01-05,601615,11.38,11.56,11.00,11.08,21000900,1.000000
2024-01-05,601633,22.74,23.13,22.35,22.54,15142500,1.000000
2024-01-05,603659,19.38,19.72,18.63,18.73,13961600,1.000000
2024-01-05,605117,23.56,24.03,22.73,23.08,13172500,1.000000
2024-01-05,688063,70.77,72.70,68.80,69.72,3033800,1.000000
2024-01-05,688349,20.20,20.40,19.93,19.93,1349100,1.000000
2024-01-05,688390,88.98,92.55,85.19,87.06,5279500,1.000000
2024-01-05,688599,26.67,27.21,25.77,25.98,15995400,1.000000
2024-01-08,000625,14.11,14.26,13.76,14.10,165615800,1.000000
2024-01-08,002074,20.21,20.85,19.96,19.98,11409200,1.000000
2024-01-08,002080,13.97,14.09,13.69,13.69,7373000,1.000000
2024-01-08,002129,13.84,14.17,13.67,13.70,73124500,1.000000
2024-01-08,002202,7.44,7.53,7.32,7.34,15259600,1.000000
2024-01-08,002335,17.39,17.53,16.97,16.99,5956300,1.000000
2024-01-08,002459,18.29,19.15,18.15,18.56,63939000,1.000000
2024-01-08,002594,61.91,62.20,60.69,60.78,8107800,1.000000
2024-01-08,002812,50.72,51.93,49.40,49.48,11928500,1.000000
2024-01-08,300014,38.17,39.18,37.67,37.67,20253300,1.000000
2024-01-08,300073,35.16,36.22,34.92,34.92,5117500,1.000000
2024-01-08,300207,13.41,13.65,13.05,13.06,22781600,1.000000
2024-01-08,300274,53.64,55.34,53.52,54.18,12651100,1.000000
2024-01-08,300438,26.53,27.86,26.33,26.80,18882500,1.000000
2024-01-08,300450,23.32,23.91,23.02,23.02,16416600,1.000000
2024-01-08,300750,131.50,134.69,130.38,131.30,19385400,1.000000
2024-01-08,300763,64.03,65.66,63.53,63.86,5901000,1.000000
2024-01-08,300772,10.32,10.44,10.18,10.21,6671600,1.000000
2024-01-08,600104,12.85,12.93,12.63,12.67,21877700,1.000000
2024-01-08,600438,22.90,23.60,22.82,23.06,27817000,1.000000
2024-01-08,601012,21.24,22.01,21.19,21.44,118135700,1.000000
2024-01-08,601127,67.07,67.25,64.88,64.98,43396200,1.000000
2024-01-08,601615,11.05,11.24,10.87,10.89,19311600,1.000000
2024-01-08,601633,22.54,22.56,21.82,21.90,19931100,1.000000
2024-01-08,603659,18.67,19.16,18.31,18.36,11250400,1.000000
2024-01-08,605117,22.92,25.02,22.92,24.48,21136600,1.000000
2024-01-08,688063,69.13,70.85,68.03,68.13,2742000,1.000000
2024-01-08,688349,19.93,19.93,19.30,19.30,2101200,1.000000
2024-01-08,688390,85.66,89.51,85.66,86.81,3860300,1.000000
2024-01-08,688599,25.95,26.57,25.72,25.98,15505700,1.000000
2024-01-09,000625,14.09,14.29,13.91,14.12,133350700,1.000000
2024-01-09,002074,19.99,20.46,19.76,20.05,10255800,1.000000
2024-01-09,002080,13.71,13.97,13.46,13.78,8378600,1.000000
2024-01-09,002129,13.72,14.87,13.52,14.27,147232100,1.000000
2024-01-09,002202,7.33,7.46,7.26,7.38,16703000,1.000000
2024-01-09,002335,16.90,17.49,16.30,16.86,9536500,1.000000
2024-01-09,002459,18.56,19.80,17.99,18.99,97878600,1.000000
2024-01-09,002594,61.31,62.98,61.04,61.93,11218700,1.000000
2024-01-09,002812,49.48,50.72,48.35,49.74,13037900,1.000000
2024-01-09,300014,37.67,38.65,36.72,37.67,22393000,1.000000
2024-01-09,300073,34.92,35.92,34.33,35.07,5230300,1.000000
2024-01-09,300207,13.09,13.37,12.95,13.11,19771400,1.000000
2024-01-09,300274,54.01,56.79,52.78,55.37,20645300,1.000000
2024-01-09,300438,26.64,27.84,25.78,27.09,21885100,1.000000
2024-01-09,300450,23.02,23.81,22.56,23.16,21871100,1.000000
2024-01-09,300750,131.26,132.67,127.05,130.00,23391600,1.000000
2024-01-09,300763,64.50,74.56,64.23,71.67,25480500,1.000000
2024-01-09,300772,10.23,10.51,10.11,10.26,6907700,1.000000
2024-01-09,600104,12.68,12.78,12.64,12.77,18259500,1.000000
2024-01-09,600438,23.11,24.19,22.79,23.66,46077300,1.000000
2024-01-09,601012,21.45,22.70,21.27,22.07,207367000,1.000000
2024-01-09,601127,65.59,66.04,63.37,63.65,43889300,1.000000
2024-01-09,601615,10.88,11.25,10.65,10.97,25083400,1.000000
2024-01-09,601633,21.90,22.42,21.90,22.14,12323000,1.000000
2024-01-09,603659,18.34,19.10,18.04,18.72,11852300,1.000000
2024-01-09,605117,24.20,25.58,23.40,24.30,19364700,1.000000
2024-01-09,688063,68.70,72.24,66.35,69.73,4308000,1.000000
2024-01-09,688349,19.40,19.51,19.02,19.34,1972700,1.000000
2024-01-09,688390,87.33,93.33,83.56,89.37,6751800,1.000000
2024-01-09,688599,26.09,27.46,25.30,26.61,19952900,1.000000
2024-01-10,000625,13.99,14.06,13.64,13.72,179698200,1.000000
2024-01-10,002074,19.92,20.40,19.65,19.93,10688300,1.000000
2024-01-10,002080,13.78,14.06,13.62,13.81,5797100,1.000000
2024-01-10,002129,14.07,14.92,14.05,14.56,129421700,1.000000
2024-01-10,002202,7.36,7.43,7.24,7.35,18057100,1.000000
2024-01-10,002335,16.76,17.48,16.50,17.08,8200300,1.000000
2024-01-10,002459,18.73,19.62,18.67,19.23,81102000,1.000000
2024-01-10,002594,61.54,62.08,60.84,61.07,7141600,1.000000
2024-01-10,002812,49.27,51.53,48.80,49.67,15251900,1.000000
2024-01-10,300014,37.47,38.77,36.88,37.75,20682700,1.000000
2024-01-10,300073,35.06,35.94,34.43,35.52,5729600,1.000000
2024-01-10,300207,13.03,13.37,12.81,13.06,19381200,1.000000
2024-01-10,300274,54.84,58.90,54.79,57.83,27269000,1.000000
2024-01-10,300438,26.75,28.28,26.20,27.43,26183600,1.000000
2024-01-10,300450,22.95,23.90,22.64,23.38,24423300,1.000000
2024-01-10,300750,128.24,134.41,127.85,131.96,23212000,1.000000
2024-01-10,300763,70.41,78.20,70.41,75.93,25964600,1.000000
2024-01-10,300772,10.26,10.45,10.07,10.22,5369500,1.000000
2024-01-10,600104,12.74,12.82,12.70,12.77,12375400,1.000000
2024-01-10,600438,23.46,24.49,23.41,23.96,44243600,1.000000
2024-01-10,601012,21.83,22.63,21.69,22.06,167731500,1.000000
2024-01-10,601127,64.39,67.59,63.99,66.09,64251500,1.000000
2024-01-10,601615,10.87,11.15,10.73,10.92,22572700,1.000000
2024-01-10,601633,22.13,22.28,21.87,22.03,8994500,1.000000
2024-01-10,603659,18.64,19.34,18.42,18.82,10152900,1.000000
2024-01-10,605117,24.00,27.21,23.86,27.21,30915900,1.000000
2024-01-10,688063,69.35,73.45,68.91,72.28,4879700,1.000000
2024-01-10,688349,19.36,19.44,18.76,18.76,2371000,1.000000
2024-01-10,688390,88.10,100.19,88.10,94.66,8964800,1.000000
2024-01-10,688599,26.33,27.52,26.22,27.06,20475800,1.000000
2024-01-11,000625,13.71,14.23,13.59,14.07,196055900,1.000000
2024-01-11,002074,19.95,21.08,19.73,20.83,21839100,1.000000
2024-01-11,002080,13.79,14.13,13.69,14.09,6892200,1.000000
2024-01-11,002129,14.44,15.09,14.37,14.93,124757900,1.000000
2024-01-11,002202,7.34,7.51,7.29,7.48,20185800,1.000000
2024-01-11,002335,16.99,18.32,16.92,17.98,13691400,1.000000
2024-01-11,002459,19.04,19.45,18.74,19.17,79218100,1.000000
2024-01-11,002594,61.04,63.88,60.58,63.24,15986200,1.000000
2024-01-11,002812,49.74,53.19,49.33,52.65,23017100,1.000000
2024-01-11,300014,37.66,40.52,37.20,39.85,37380200,1.000000
2024-01-11,300073,35.55,37.51,35.37,37.24,10587500,1.000000
2024-01-11,300207,13.09,13.83,12.96,13.65,32022600,1.000000
2024-01-11,300274,57.90,59.57,57.58,58.87,22287400,1.000000
2024-01-11,300438,27.24,29.68,27.08,29.12,38518600,1.000000
2024-01-11,300450,23.22,24.39,23.10,24.15,28613800,1.000000
2024-01-11,300750,131.96,139.07,129.81,136.12,32801800,1.000000
2024-01-11,300763,76.07,78.99,76.00,77.23,19316300,1.000000
2024-01-11,300772,10.20,10.49,10.13,10.43,6356400,1.000000
2024-01-11,600104,12.77,12.95,12.71,12.93,13831600,1.000000
2024-01-11,600438,23.96,24.38,23.82,24.35,41718900,1.000000
2024-01-11,601012,21.85,22.33,21.75,22.19,157721000,1.000000
2024-01-11,601127,65.59,66.65,65.10,66.14,40072400,1.000000
