trade_date,monetary_policy,liquidity,growth,inflation,bond_supply,risk_appetite,rule_pressure,supporting_document_count,structured_observation_count,independent_event_count,monetary_policy_independent_event_count,liquidity_independent_event_count,growth_independent_event_count,inflation_independent_event_count,bond_supply_independent_event_count,risk_appetite_independent_event_count,monetary_policy_evidence_status,liquidity_evidence_status,growth_evidence_status,inflation_evidence_status,bond_supply_evidence_status,risk_appetite_evidence_status
2018-01-02,0.0,-0.5825,0.0,0.0,0.56404286,0.0,1.0,202,8,144,1,128,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-03,0.0,-0.5825,0.0,0.0,0.56404286,0.0,1.0,202,8,144,1,128,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-04,0.0,-0.5825,0.0,0.0,0.56404286,0.0,1.0,202,8,144,1,128,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-05,0.0,-0.5825,0.0,0.0,0.56404286,0.0,1.0,202,8,144,1,128,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-08,0.0,-0.58257692,0.0,0.0,0.56404286,0.0,1.0,203,8,145,1,129,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-09,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,145,1,129,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-10,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,145,1,129,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-11,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,145,1,129,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-12,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,145,1,129,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-15,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-16,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-17,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-18,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-19,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,146,1,130,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-29,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,147,1,131,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-30,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,147,1,131,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-01-31,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,147,1,131,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-01,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,147,1,131,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-02,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,147,1,131,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-05,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,148,1,132,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-06,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,148,1,132,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-07,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,148,1,132,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-08,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,148,1,132,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
