rule_id,independent_document_count,independent_date_count,stock_count,discovery_avg_excess_return_5d,oos_document_count,oos_avg_excess_return_5d,posterior_win_rate,shrunk_return,return_component,half_year_stability,coverage_component,evidence_component,complexity_penalty,status
R001,10,8,7,0.014094,25,-0.006216,0.642857,0.008309,0.582114,1.000000,0.600000,0.932000,0.030000,qualified
R002,7,6,14,0.000293,8,0.000229,0.545455,0.001605,0.486847,0.500000,0.675000,0.854286,0.030000,qualified
R003,4,4,25,0.000000,1,0.006903,0.625000,0.001802,0.489675,0.666667,0.600000,0.792500,0.030000,candidate
R004,3,3,25,0.000000,1,0.006903,0.571429,0.001941,0.491660,0.500000,0.575000,0.820000,0.030000,candidate
R005,9,7,18,0.000228,8,0.000229,0.461538,0.001436,0.484429,0.500000,0.725000,0.844444,0.030000,candidate
R006,4,4,16,-0.000000,0,0.000000,0.500000,0.001802,0.489675,0.500000,0.600000,0.792500,0.030000,candidate
R007,3,2,5,-0.003408,5,0.001726,0.571429,0.001155,0.480406,0.500000,0.325000,0.866667,0.030000,candidate
R008,9,8,16,-0.003758,8,0.000229,0.461538,-0.000452,0.457486,0.250000,0.725000,0.844444,0.030000,candidate
R009,5,5,8,0.002552,4,-0.016839,0.333333,0.002533,0.500136,0.500000,0.525000,0.884000,0.030000,candidate
R010,7,7,15,-0.005014,6,0.005095,0.454545,-0.000580,0.455666,0.250000,0.675000,0.894286,0.030000,candidate
R011,8,7,25,-0.001278,10,0.002448,0.416667,0.000834,0.475820,0.250000,0.700000,0.827500,0.030000,candidate
R012,8,8,21,-0.007227,6,0.011124,0.416667,-0.001810,0.438245,0.250000,0.700000,0.831250,0.030000,candidate
R013,4,4,14,-0.000000,7,0.004247,0.375000,0.001802,0.489675,0.333333,0.600000,0.810000,0.030000,candidate
R014,5,4,16,-0.002045,5,0.001726,0.444444,0.001001,0.478204,0.333333,0.625000,0.844000,0.060000,candidate
R015,12,12,20,-0.002772,12,0.008813,0.312500,-0.000365,0.458721,0.250000,0.800000,0.834167,0.030000,candidate
R016,11,11,24,-0.006082,7,0.009505,0.333333,-0.001984,0.435794,0.250000,0.775000,0.840000,0.030000,candidate
R017,10,9,22,-0.003441,13,0.009377,0.428571,-0.000459,0.457390,0.000000,0.750000,0.845000,0.030000,candidate
R018,6,6,17,-0.004031,5,0.013905,0.400000,0.000065,0.464853,0.250000,0.650000,0.838333,0.060000,candidate
R019,14,14,25,-0.002376,10,0.007861,0.333333,-0.000335,0.459153,0.000000,0.850000,0.829286,0.030000,candidate
R020,9,9,20,-0.003696,7,0.009121,0.307692,-0.000423,0.457900,0.250000,0.725000,0.846667,0.060000,candidate
R021,9,9,8,-0.000162,3,-0.006048,0.384615,0.001251,0.481786,0.000000,0.625000,0.888889,0.030000,candidate
R022,4,4,14,-0.014455,3,0.016239,0.375000,-0.002328,0.430963,0.250000,0.600000,0.860000,0.060000,candidate
R023,4,4,4,-0.000365,4,0.007643,0.500000,0.001698,0.488181,0.000000,0.300000,0.950000,0.030000,candidate
R024,5,5,20,-0.000000,8,0.003531,0.333333,0.001682,0.487954,0.000000,0.625000,0.804000,0.030000,candidate
R025,3,3,6,-0.000000,0,0.000000,0.428571,0.001941,0.491660,0.000000,0.375000,0.840000,0.030000,candidate
R026,5,5,7,-0.004837,1,0.006903,0.333333,0.000070,0.464916,0.000000,0.475000,0.856000,0.030000,candidate
R027,7,7,7,-0.003455,2,-0.008874,0.272727,0.000062,0.464798,0.000000,0.525000,0.851429,0.030000,candidate
R028,3,3,7,-0.008062,1,0.006903,0.285714,0.000081,0.465069,0.000000,0.425000,0.886667,0.030000,candidate
R029,4,4,7,-0.006047,0,0.000000,0.375000,0.000075,0.464987,0.000000,0.450000,0.875000,0.060000,candidate
R030,4,4,7,-0.006047,2,-0.008874,0.250000,0.000075,0.464987,0.000000,0.450000,0.875000,0.030000,candidate
R031,6,6,7,-0.004031,1,-0.024651,0.300000,0.000065,0.464853,0.000000,0.500000,0.863333,0.060000,candidate
