rule_id,rule_name,condition,target_label,support_count,positive_count,win_rate,avg_forward_return_5d,score,status
R001,policy_signal__policy__policy_followup,has_policy_support AND policy_attention_followup,policy_signal,10,6,0.6000,0.000525,0.5754,qualified
R002,policy_signal__auth__policy_followup,evidence_from_authoritative_source AND policy_attention_followup,policy_signal,11,6,0.5455,0.000478,0.5577,qualified
R003,policy_signal__policy__auth,has_policy_support AND evidence_from_authoritative_source,policy_signal,17,8,0.4706,-0.001522,0.5776,candidate
R004,policy_signal__core__policy_followup,event_mentions_core_product AND policy_attention_followup,policy_signal,8,4,0.5000,-0.001278,0.4963,candidate
R005,policy_signal__business_policy__policy_followup,policy_directly_related_to_business AND policy_attention_followup,policy_signal,3,2,0.6667,-0.003408,0.4898,candidate
R006,authoritative_core_event_signal__core__auth,event_mentions_core_product AND evidence_from_authoritative_source,authoritative_core_event_signal,9,4,0.4444,-0.001136,0.4842,candidate
R007,policy_signal__core__auth__policy_followup,event_mentions_core_product AND evidence_from_authoritative_source AND policy_attention_followup,policy_signal,4,2,0.5000,-0.002556,0.4684,candidate
R008,authoritative_core_event_signal__core__media,event_mentions_core_product AND source_major_media,authoritative_core_event_signal,4,2,0.5000,-0.000000,0.4522,candidate
R009,policy_signal__policy__business_policy,has_policy_support AND policy_directly_related_to_business,policy_signal,5,2,0.4000,-0.002045,0.4378,candidate
R010,capacity_policy_signal__policy__capacity_policy,has_policy_support AND capacity_policy_support,capacity_policy_signal,4,1,0.2500,-0.000152,0.3613,candidate
R011,policy_signal__policy__demand_policy,has_policy_support AND demand_side_policy,policy_signal,4,1,0.2500,-0.001370,0.3513,candidate
R012,policy_signal__policy__supply_policy,has_policy_support AND supply_side_policy,policy_signal,3,0,0.0000,-0.013622,0.2398,candidate
R013,policy_signal__policy_followup__demand_policy,policy_attention_followup AND demand_side_policy,policy_signal,3,0,0.0000,-0.002119,0.1898,candidate
