stock_code,stock_name,industry_sector,market_cap
601012,隆基绿能,光伏,1450.0
600438,通威股份,光伏,980.0
002129,TCL中环,光伏,520.0
002459,晶澳科技,光伏,610.0
688599,天合光能,光伏,690.0
300274,阳光电源,光伏,1260.0
300750,宁德时代,锂电,8900.0
300014,亿纬锂能,锂电,960.0
002074,国轩高科,锂电,520.0
300207,欣旺达,锂电,360.0
300438,鹏辉能源,锂电,230.0
603659,璞泰来,锂电,420.0
300073,当升科技,锂电,260.0
002812,恩捷股份,锂电,380.0
300450,先导智能,锂电,390.0
002202,金风科技,风电,410.0
601615,明阳智能,风电,330.0
300772,运达股份,风电,120.0
688349,三一重能,风电,310.0
002080,中材科技,风电,260.0
688063,派能科技,储能,170.0
688390,固德威,储能,210.0
300763,锦浪科技,储能,240.0
605117,德业股份,储能,360.0
002335,科华数据,储能,210.0
002594,比亚迪,整车,7800.0
601127,赛力斯,整车,1450.0
000625,长安汽车,整车,1320.0
601633,长城汽车,整车,1550.0
600104,上汽集团,整车,1650.0
