doc_id,source_type,title,content,publish_time,source_name,url
DIRQ-001,ir_qa,,,,,
DIRQ-002,ir_qa,,,,,
DIRQ-003,ir_qa,,,,,
DIRQ-004,ir_qa,,,,,
DIRQ-005,ir_qa,,,,,
DIRQ-006,ir_qa,,,,,
DIRQ-007,ir_qa,,,,,
DIRQ-008,ir_qa,,,,,
DIRQ-009,ir_qa,,,,,
DIRQ-010,ir_qa,,,,,
DIRQ-011,ir_qa,,,,,
DIRQ-012,ir_qa,,,,,
DIRQ-013,ir_qa,,,,,
DIRQ-014,ir_qa,,,,,
DIRQ-015,ir_qa,,,,,
DIRQ-016,ir_qa,,,,,
DIRQ-017,ir_qa,,,,,
DIRQ-018,ir_qa,,,,,
DIRQ-019,ir_qa,,,,,
DIRQ-020,ir_qa,,,,,
DIRQ-021,ir_qa,,,,,
DIRQ-022,ir_qa,,,,,
DIRQ-023,ir_qa,,,,,
DIRQ-024,ir_qa,,,,,
DIRQ-025,ir_qa,,,,,
